importance,+++
author,Rodger et al
title,Inhibit  switch  and update - A within-subject fMRI investigation of executive control
table_name,Table 2 - Brain regions associated with working memory
contrast, n-back > control task
keywords,fMRI; working memory; MNI;visual shape color
Left/Right,Name,X(R),Y(A),Z(S),NV,t,subjects
Right,Middle Frontal Gyrus,33,3,54,3966,11.62,22
Right,Middle Frontal Gyrus,33,3,54,292,11.62,22
Left,Middle Frontal Gyrus,-48,3,45,401,8.61,22
Right,Caudate,18,3,21,242,7.83,22
Right,Superior Frontal Gyrus,36,36,30,242,8.28,22
Right,Middle Frontal Gyrus,30,45,9,134,7.49,22
Left,Insula,-30,21,3,50,8.23,22
Left,Superior Frontal Gyrus,-36,57,15,188,6.26,22
Left,Lentiform Nucleus,-12,0,3,496,8.75,22
Right,Inferior Parietal Lobule,51,-39,45,1731,10.37,22
Right,Inferior Parietal Lobule,51,-39,45,498,10.37,22
Left,Inferior Parietal Lobule,-42,-48,51,211,8.87,22
Right,Middle Temporal Gyrus,57,-54,9,22,5.46,22
Left,Cerebellum,-33,-66,-27,257,7.30,22
Right,Cerebellum,39,-60,-30,161,6.74,22
