importance,++
author,Duggirala et al
title,Stimulus-dependent modulation of working memory for identity monitoring - A functional MRI study
table_name,Table 2-3 - Brain activations during two-back WM with words; objects and faces as stimuli; contrasted with their respective zero-back baseline task.
contrast,2-back > 0-back
keywords,fMRI; working memory; MNI; n-back task; two-back task; visual faces
Name,Left/Right,X(R),Y(A),Z(S),t,cluster size,subjects
Precentral,Left,-44,6,30,5.56,242,50
Cerebellum (Crus1),Left,-26,-64,-32,5.52,370,50
Cerebellum (Crus2),Left,-10,-76,-32,4.99,370,50
Cerebellum (Crus1),Left,-14,-68,-32,4.18,370,50
Inferior parietal,Left,-42,-48,54,5.52,995,50
Inferior parietal,Left,-36,-48,38,5.21,995,50
Inferior parietal,Left,-52,-36,46,5.04,995,50
Insula,Right,32,26,2,4.75,152,50
Inferior frontal tri,Right,42,20,8,4.08,152,50
Insula,Left,-30,28,2,4.52,89,50
Vermis_8,Right,-2,-60,-30,4.44,71,50
Middle cingulum,Right,10,22,38,4.42,102,50
Middle occipital,Left,-30,-82,20,4.35,120,50
Cerebellum (Crus1),Left,-40,-78,-18,4.17,208,50
Fusiform gyrus,Left,-40,-66,-14,4.16,208,50
