importance,++
author,Duggirala et al
title,Stimulus-dependent modulation of working memory for identity monitoring - A functional MRI study
table_name,Table 4 - Common and stimulus-specific activations during two-back WM with words and faces as stimuli
contrast, 2-back > 0-back
keywords,fMRI; working memory; MNI; n-back task; two-back task; visual faces; visual word recognition
Name,Left/Right,X(R),Y(A),Z(S),t,cluster size,subjects
Cerebellum,Left,-26,-64,-32,5.27,117,50
Inferior parietal,Left,-36,-48,38,5.22,671,50
Supramarginal,Left,-50,-40,42,4.70,,50
Angular,Left,-34,-62,38,4.27,,50
Precentral,Left,-44,6,30,5.21,187,50
Insula,Right,32,26,2,4.75,105,50
Insula,Left,-30,28,2,4.31,58,50
Inferior frontal/insula,Right,32,20,-6,5.60,63,50
Inferior frontal/insula,Right,32,18,4,5.55,,50
Inferior frontal oper,Left,-54,12,2,4.97,58,50
Inferior temporal,Left,-46,-48,-28,4.62,57,50
Inferior frontal tri,Left,-38,20,26,4.57,70,50
Middle frontal,Right,38,48,12,4.03,43,50
Middle occipital,Left,-30,-82,20,4.35,79,50
Cerebellum,Left,-12,-70,-30,4.05,79,50
