importance,++
author,Lawrence et al
title,Distinct Roles of Prefrontal Cortical Subregions in the Iowa Gambling Task
table_name,Table 3 - Brain regions showing significant activation in response to wins versus losses (all decks)
contrast, win > lose
keywords,fMRI;outcome phase; decision making; monetary reward; MNI; gambling; positive reward; visual cards
Name,Left/Right,Broadman Area,cluster size,X(R),Y(A),Z(S),z-score,subjects
Precuneus/angular gyrus,R,30,374,24,-48,21,4.78,15
Thalamus,R,,125,3,-12,15,4.58,15
Cerebellum,R,,349,36,-75,-45,4.58,15
Caudate/insula,L,,201,-21,-21,27,4.47,15
Caudate (includes nucleus accumbens),L,,109,-18,18,12,4.32,15
Cerebellum,R,,106,12,-42,-48,4.32,15
Cuneus/parieto-occipital sulcus,L,23/30,44,-24,-48,24,4.14,15
Caudate,R,,127,27,-12,30,4.11,15
Inferior Parietal lobe,R,40,51,54,-39,51,4.07,15
Cerebellum,L,,65,-27,-63,-42,4.03,15
Superior frontal gyrus,L,6,59,-21,18,63,3.98,15
Caudate/anterior cingulate,R,24,48,18,30,3,3.82,15
Superior parietal/middle occipital cortex,L,7,90,-27,-63,54,3.69,15
