importance,++
author,Taylor et al
title,A functional neuroimaging study of motivation and executive function
table_name,Table 3-1 - Activation foci for the DELAY(anticipation phase) event - memory load
contrast,-
keywords,fMRI; working memory; anticipation phase; monetary reward; MNI; n-back task; visual shape
Left/Right,Name,Broadman Area,cluster size,X(R),Y(A),Z(S),z-score,subjects
,Medial frontal/anterior cingulate cortex,6/32,780,-2,12,54,4.64,12
,Medial frontal/anterior cingulate cortex,6/32,780,2,18,46,4.81,12
,Medial frontal/anterior cingulate cortex,6/32,780,-2,28,38,4.00,12
L,superior frontal sulcus and middle/inferior frontal g,6/8/9,1036,-20,2,54,4.73,12
L,superior frontal sulcus and middle/inferior frontal g,6/8/9,1036,-26,8,60,4.64,12
L,superior frontal sulcus and middle/inferior frontal g,6/8/9,1036,-54,10,50,4.84,12
R,superior frontal sulcus and middle frontal g,6/8,451,36,0,54,5.64,12
R,superior frontal sulcus and middle frontal g,6/8,451,34,4,42,4.75,12
R,superior frontal sulcus and middle frontal g,6/8,451,24,10,46,3.69,12
L,rostral middle frontal g,10,34,-34,52,6,3.91,12
R,inferior/middle frontal g,45/46,156,36,40,26,3.64,12
R,inferior/middle frontal g,45/46,156,44,46,16,3.78,12
R,Intraparietal sulcus,7/40/39,1955,34,-62,52,4.93,12
R,Intraparietal sulcus,7/40/39,1955,34,-74,52,4.70,12
L,,7/40/39,,-42,-54,52,4.70,12
R,superior occipital cortex,19,33,34,-80,38,3.76,12
