importance,++
author,Vassena et al
title,Dissociating contributions of ACC and vmPFC in reward prediction outcome and choice
table_name,Table 1-1  Summary of the activations in the whole brain contrasts. Contrast outcome phase win > lose
contrast,win > lose
keywords,fMRI; outcome phase; decision making; monetary reward; MNI; gambling; positive reward; visual color pies with probabilities
Left/Right,Name,X(R),Y(A),Z(S),cluster size,t,subjects
Left,pallidum,-12,6,-2,43399,9.42,20
Right,pallidum,12,10,-2,43399,8.79,20
,Putamen,18,4,-8,43399,8.43,20
,Inferior temporal gyrus,-52,-54,10,541,7.43,20
,Occipital cortex,-18,-96,-2,507,5.62,20
Left,pallidum,-12,6,-2,5052,9.42,20
Right,pallidum,12,10,-2,5052,8.79,20
,Putamen,18,4,-8,5052,8.43,20
Left,inferior frontal operculum,-44,6,26,1712,7.98,20
,Inferior frontal gyrus,-38,34,10,1712,6.82,20
,Inferior frontal gyrus,-46,44,14,1712,6.64,20
,Anterior cingulate cortex,-6,34,6,3355,7.76,20
,Anterior cingulate cortex,8,28,14,3355,7.67,20
,Anterior cingulate cortex,0,38,-2,3355,7.53,20
Right,inferior frontal operculum,44,10,26,1123,7.55,20
Right,inferior frontal gyrus,44,36,16,1123,6.18,20
,Inferior temporal gyrus,-52,-54,-10,186,7.43,20
,Occipital cortex,28,-92,-4,527,7.41,20
,Inferior occipital gyrus,40,-82,-10,527,6.88,20
Right,inferior temporal gyrus,56,-52,-12,289,7.22,20
,Poster cingulate gyrus,8,-36,32,472,7.14,20
,Angular gyrus,32,-58,42,1185,6.84,20
Right,precuneus,36,-70,34,1185,6.57,20
Right,inferior parietal lobule,46,-36,48,1185,5.97,20
Left,inferior parietal lobule,-50,-38,44,1347,6.55,20
,Supramarginal gyrus,-42,-44,38,1347,6.06,20
,Precuneus,8,-56,18,277,5.29,20
,Precuneus,-8,-50,14,277,5.09,20
,Mid-cingulate gyrus,-6,-6,32,242,6.23,20
,Mid-cingulate gyrus,6,0,30,242,6.02,20
,Mid-cingulate gyrus,6,10,2,242,5.62,20
,Superior frontal gyrus,-26,22,56,398,6.2,20
,Middle frontal gyrus,-26,12,62,398,5.94,20
,Middle frontal gyrus,-28,34,48,398,5.54,20
,Hippocampus,32,-10,-10,25,5.69,20
,Occipital cortex,-18,-96,-2,100,5.62,20
