importance,++
author,Vassena et al
title,Dissociating contributions of ACC and vmPFC in reward prediction outcome and choice
table_name,Table 1-2  Summary of the activations in the whole brain contrasts. Contrast outcome phase low probability > high probability
contrast,low probability > high probability
keywords,fMRI; outcome phase; decision making; monetary reward; MNI; gambling; risk choice; visual color pies with probabilities
Left/Right,Name,X(R),Y(A),Z(S),cluster size,t,subjects
Right,insula,30,24,-6,23705,9.35,20
Left,insula,-28,18,-4,23705,8.83,20
,Anterior cingulate cortex,8,36,14,23705,8.03,20
,Inferior parietal lobule,-30,-50,44,4684,5.63,20
,Precuneus,30,-60,30,4684,5.46,20
,Supramarginal gyrus,46,-44,30,4684,5.23,20
,Inferior temporal cortex,-44,-58,-10,534,5.2,20
,Fusiform gyrus,-36,-64,-8,534,4.78,20
Left,occipital cortex,-18,-98,-6,274,3.99,20
Right,occipital cortex,30,-88,2,250,3.93,20
Right,insula,30,24,-6,4756,9.35,20
Left,insula,-28,18,-4,4756,8.83,20
,Thalamus,8,-8,2,4756,7.37,20
,Anterior cingulate cortex,8,36,14,2270,8.03,20
,Anterior cingulate cortex,-6,34,14,2270,7.09,20
,Anterior cingulate cortex,6,32,24,2270,6.69,20
Middle,frontal gyrus,48,10,50,262,6.8,20
Right,precentral gyrus,48,10,34,262,5.53,20
,Posterior cingulate cortex,-4,-28,28,384,6.62,20
Middle,frontal gyrus,28,56,0,60,5.68,20
,Inferior parietal lobule,-30,-50,44,150,5.63,20
,Superior frontal gyrus,22,48,34,31,5.46,20
,Precuneus,32,-70,30,164,5.46,20
,Angular gyrus,30,-56,44,,5.08,20
Left,precentral gyrus,-46,2,54,10,5.25,20
,Supramarginal gyrus,46,-44,30,26,5.23,20
,Inferior temporal cortex,-44,-58,-10,24,5.2,20
,Inferior frontal operculum,34,20,30,60,5.12,20
,Inferior frontal gyrus,46,26,28,60,5.07,20
