importance,+
author,Aharon et al
title,Beautiful Faces Have Variable Reward Value - fMRI and Behavioral Evidence
table_name,Table 2 E - Post-Hoc Fixed Effects Analysis - Contrast - Average Female vs Average Male
contrast,Average Female > Average Male
keywords,fMRI; outcome phase; viewing; social reward; talairach; passive
Name,X(R),Y(A),Z(S),p value,subjects
NAc and other VS,16,18,-5,-1.0E-4,6
NAc and other VS,-9,6,2,-4.0E-5,6
VT,-6,-18,-8,1.9E-5,6
VT,10,-24,-5,2.5E-4,6
SLEA,-18,9,-15,-1.4E-5,6
GOb,22,51,-2,3.3E-6,6
GOb,-24,42,2,1.2E-6,6
GOb,34,42,-2,5.1E-5,6
GOb,-33,24,-5,1.9E-6,6
Amyg,-18,0,-15,-6.3E-4,6
Amyg,-27,-6,-21,5.0E-4,6
Amyg,28,3,-28,1.6E-4,6
Hypo,3,-12,-8,2.4E-5,6
