importance,+
author,Di et al
title,Anterior cingulate cortex differently modulates fronto-parietal functional connectivity between resting-state and working memory tasks
table_name,Table 1-2 Clusters that showed  increased or decreased activations in the 2-back condition compared with the 1-back condition in the block designed runs  1-back > 2-back
contrast,2-back > 1-back
keywords,fMRI; working memory; MNI; n-back task; one-back task;visual letters
p value,NV,X(R),Y(A),Z(S),t,Left/Right,Name,subjects
0.001,661,-3,-16,32,8.73,,Middle cingulate gyrus,49
0.001,661,0,-37,20,6.08,,Posterior cingulate gyrus,49
0.001,661,0,-28,44,5.42,,Posterior cingulate gyrus,49
0.001,660,39,-19,20,6.54,Right,parietal operculum,49
0.001,660,36,-16,2,5.56,Right,posterior insula,49
0.001,660,39,2,-1,5.16,Right,anterior insula,49
0.001,910,12,59,20,6.11,,Superior frontal gyrus,49
0.001,910,-6,62,8,5.86,,Medial superior frontal gyrus,49
0.001,910,-9,53,-1,5.84,,Medial superior frontal gyrus,49
0.001,498,-36,-10,-4,5.39,Left,posterior insula,49
0.001,498,-63,-25,5,4.73,Left,superior temporal gyrus,49
0.001,498,-39,-19,17,4.64,Left,central operculum,49
0.037,74,21,38,-1,5.19,,Anterior cingulate gyrus,49
