importance,+
author,Knutson et al
title,Dissociation of reward anticipation and outcome with event-related fMRI
table_name,Table 1 - Group maximum Z-scores and Talairach Coordinates of activation foci
contrast,reward > no reward
keywords,fMRI;reward magnitude;anticipation phase;monetary reward;MID;talairach;performance-dependent
Left/Right,Name,Broadman Area,z-score,X(R),Y(A),Z(S),subjects
R,anterior insula,13,4.41,33,17,-2,9
R,NAcc,,5.69,11,11,0,9
L,NAcc,,4.95,-8,12,0,9
R,caudate,,5.92,11,9,3,9
L,caudate,,5.34,-9,5,4,9
L,putamen,,3.97,-20,1,-4,9
,Thalamus,,6.29,3,-2,7,9
R,amygdala,,4.86,16,-7,-7,9
,Mesial prefrontal cortex,32,3.95,5,41,12,9
,Mesial prefrontal cortex,32,4.73,3,11,43,9
,Supplementary motor area,6,3.99,1,-1,48,9
L,motor cortex,4,4.74,-40,-15,51,9
,Cerebellar vermis,,4.67,3,-59,-5,9
