importance,+
author,Rademacher et al
title,Dissociation of neural networks for anticipation and consumption of monetary and social rewards
table_name,Table 2-2 - Brain regions activation during reward consumption in comparison to the no outcome condition inclusively masked with the (consumption_(hit outcome) > anticipation_(hit outcome)) contrast (uncorrected p = 0.001) - SID
contrast,received reward > expected reward
keywords,outcome phase; social reward; SID; fMRI; reward magnitude; talairach; performance-dependent
Left/Right,Name,Broadman Area,X(R),Y(A),Z(S),z-score,cluster size,subjects
L/R,Middle occipital gyrus/fusiform gyrus,18/37,-27,-87,-1,10,1678,28
R,Amygdala,,18,-6,-12,10,299,28
R,Medial frontal gyrus,11,3,58,-13,6.42,50,28
L,Amygdala,,-18,-4,-12,6.13,215,28
R,Superior temporal gyrus,38,39,19,-24,5.28,20,28
L,Middle temporal gyrus,39,-48,-63,25,4.85,59,28
L,Inferior frontal gyrus,47,-39,31,-12,4.74,16,28
R,Inferior frontal gyrus,45/46,45,30,10,4.43,29,28
L,Medial frontal gyrus,10,-6,59,19,4.33,21,28
L,Superior temporal gyrus,38,-36,5,-20,4.30,9,28
R,Cingulate gyrus/posterior cingulate,31,3,-51,25,4.25,102,28
L,Middle temporal gyrus,21,-56,-6,-12,3.89,12,28
R,Middle frontal gyrus,11,36,34,-12,3.86,8,28
L,Anterior cingulate,24,0,38,6,3.84,7,28
R,Superior temporal gyrus,22,53,-9,-10,3.77,5,28
