importance,+
author,Rogers et al
title,Distinct Portions of Anterior Cingulate Cortex and Medial Prefrontal Cortex Are Activated by Reward Processing in Separable Phases of Decision-Making Cognition
table_name,Table 2 - Decision Phase - Significant Increases (Local Maxima) in BOLD Response Associated with Deliberating over Choices in Which the Experimental Gamble Was Associated with Large Gains Compared with Small Gains
contrast,high reward > low reward
keywords,fMRI; decision phase; decision making; monetary reward; MNI; gambling; positive reward
Name,Broadman Area,cluster size,p value,z-score,X(R),Y(A),Z(S),subjects
Anterior Cingulate Cortex,24,,,3.63,-2,42,8,14
Paracingulate Sulcus,32,,,3.32,-0,44,36,14
Anterior Cingulate Cortex,,,,3.50,2,44,12,14
Anterior Cingulate Cortex,,,,3.62,2,46,16,14
Anterior Cingulate Cortex,,941,0.000442,3.83,2,46,20,14
Anterior Cingulate Cortex,,,,3.55,6,46,20,14
Frontal Operculum/Orbitofrontal Cortex,,391,0.048900,4.08,36,24,-12,14
Frontal Operculum/Orbitofrontal Cortex,,,,3.57,40,22,-12,14
Frontal Operculum/Orbitofrontal Cortex,,,,3.45,32,22,-14,14
Frontal Operculum/Orbitofrontal Cortex,,,,3.03,46,22,-6,14
Frontal Operculum/Orbitofrontal Cortex,,,,2.98,50,22,-4,14
Frontal Operculum/Orbitofrontal Cortex,,,,3.15,36,28,-2,14
