importance,+
author,Schmidt et al
title,No gender differences in brain activation during the N-back task  An fMRI study in healthy individuals
table_name,TABLE 1 - Distribution of brain activation while performing the N-back in men (n = 25) and women (n = 21) - one-back task + two-back task + three-back task vs 0-back
contrast,3-back; 2-back; 1-back > 0-back
keywords,fMRI; working memory; talairach; n-back task;  visual letters
Name,Broadman Area,X(R),Y(A),Z(S),cluster size,t,subjects
Superior frontal gyrus,6,26,12,54,884,8.37,50
Superior frontal gyrus,,-6,22,46,643,6.93,50
Middle frontal gyrus,9,42,36,32,711,6.40,50
Middle frontal gyrus,10,32,64,8,247,5.55,50
Inferior frontal gyrus,47,-34,22,-4,248,5.45,50
Superior parietal lobule,7,14,-68,52,814,7.39,50
Superior parietal lobule,,-28,0,58,631,6.77,50
Inferior parietal lobule,40,-48,-48,50,625,6.59,50
Superior frontal gyrus,6,34,4,56,266,7.20,50
Superior frontal gyrus,,-4,14,54,217,7.02,50
Middle frontal gyrus,9,54,22,30,721,5.70,50
Middle frontal gyrus,9,-56,20,32,630,9.27,50
Inferior frontal gyrus,47,-41,32,-8,245,6.41,50
Superior parietal lobule,7,44,-54,58,611,7.03,50
