importance,++
author,Cohen et al
title,Individual differences in extraversion and dopamine genetics predict neural reward responses
table_name,Table 1 Study 1 reward - no reward
keywords,fMRI; MNI; extraversion; dopamine; money reward; decision making; performance-dependent; reward magnitude
Left/Right,Name,Broadman Area,t,X(R),Y(A),Z(S)
R.,orbitofrontal cortex,11,5.45,21,39,-21
L.,orbitofrontal cortex,11,5.07,-10,42,-24
R.,amygdala,,4.77,27,-1,-21
L.,amygdala,,5.38,-23,0,-16
R.,nucleus accumbens,,8.12,14,14,-10
L.,nucleus accumbens,,6.94,-21,14,-10
R.,hippocampus,,5.12,28,-35,-3
R.,hippocampus,,4.85,39,-21,-14
L.,fusiform gyrus,20,6.27,-38,-24,-17
R.,calcarine sulcus,17,5.41,7,-87,0
L.,cerebellum,,5.25,-28,-45,-28
R.,cerebellum,,5.21,14,-45,-14
R.,supplementary motor,6,4.75,25,-10,67
