importance,++
author,Duggirala et al
title,Stimulus-dependent modulation of working memory for identity monitoring - A functional MRI study
table_name,Table 2-1 - Brain activations during two-back WM with words; objects and faces as stimuli; contrasted with their respective zero-back baseline task.
contrast,2-back > 0-back
keywords,fMRI; working memory; MNI; n-back task; two-back task; visual word recognition
Name,Left/Right,X(R),Y(A),Z(S),t,cluster size,subjects
Insula,Right,32,24,2,7.22,299,50
Cerebellum (Lobule VI),Left,-30,-58,-34,6.13,672,50
Cerebellum (Crus1),Left,-42,-70,-20,4.81,672,50
Cerebellum (Crus1),Left,-46,-48,-28,4.62,672,50
Inferior parietal,Left,-36,-50,44,5.99,1672,50
Inferior parietal,Left,-36,-44,38,5.93,1672,50
Inferior parietal,Left,-36,-44,38,5.68,1672,50
Precentral,Left,-44,2,28,5.81,695,50
Inferior frontal tri,Left,-48,22,26,5.00,695,50
Inferior frontal tri,Left,-38,20,26,4.57,695,50
Insula,Left,-30,24,-2,5.31,347,50
Inferior frontal tri,Left,-44,16,4,5.00,347,50
Inferior frontal oper,Left,-54,12,2,4.97,347,50
Cerebellum (Crus 2),Left,-10,-76,-32,4.65,52,50
Supplementary motor area,Left,-8,12,48,4.32,65,50
Middle frontal,Left,-26,4,50,4.23,98,50
Superior motor area,Right,8,16,46,4.19,113,50
Middle cingulum,Right,8,22,40,4.08,113,50
Middle frontal,Right,38,48,12,4.03,43,50
