importance,++
author,Lee et al
title,Abnormal neural activity in partially remitted late-onset depression An fMRI study of one-back working memory task
table_name,Table 2 - The activation map of one-back working memory task for the non-depressed controls (Task>Rest).
contrast,1-back > rest
keywords,fMRI; working memory; talairach; n-back task; one-back task; visual numbers
Name,Broadman Area,Left/Right,X(R),Y(A),Z(S),z-score,cluster size,subjects
Superior frontal G,6,R,14,1,52,5.12,263,14
Superior frontal G,6,L,-23,-1,54,5.03,263,14
Middle frontal G,6,R,34,-7,44,4.75,263,14
Middle frontal G,8/9,R,33,40,34,3.82,263,14
Middle frontal G,6,L,-41,-1,50,5.03,263,14
Middle frontal G,6/8/9,L,-32,7,59,5.00,263,14
Middle frontal G,10,L,-37,45,7,4.70,263,14
Inferior frontal G,9,R,58,9,32,4.83,263,14
Inferior frontal G,10,L,-38,47,1,4.89,263,14
Inferior frontal G,44/45/46,R,46,7,26,3.97,263,14
Inferior frontal G,44/45/46/47,L,-44,10,21,3.92,263,14
Precentral G,4/6,R,45,-3,42,4.41,263,14
Precentral G,6/9,L,-47,1,26,5.01,263,14
Precentral G,4/6,L,-34,-10,50,5.61,263,14
Medial frontal G,6/8,R,12,1,54,5.13,263,14
Medial frontal G,6/8,L,-7,16,45,4.84,263,14
Anterior cingulate G,24,R,7,19,41,5.01,263,14
Anterior cingulate G,24,R,4,0,46,5.01,263,14
Anterior cingulate G,24,L,-3,5,41,4.91,263,14
Para-cingulate,6/32,R,8,16,42,5.00,263,14
Para-cingulate,32,L,-8,8,44,5.26,263,14
Superior parietal lobule,7,R,26,-57,39,5.27,263,14
Superior parietal lobule,7,L,-23,-68,36,5.79,263,14
Inferior parietal lobule,39/40,R,35,-64,31,5.75,263,14
Inferior parietal lobule,39/40,L,-36,-56,46,5.50,263,14
Angular G,39,R,32,-55,38,5.35,263,14
Suparmarginal G,40,L,-35,-51,36,5.40,263,14
Precuneus,7,R,6,-71,43,5.35,263,14
Precuneus,7,L,-9,-69,47,5.41,263,14
Middle temporal G,37,R,48,-35,-7,4.62,78,14
Middle temporal G,21,L,-43,-53,-2,5.18,78,14
Middle temporal G,21,L,-65,-21,-4,3.48,1771,14
Inferior temporal G,37,R,48,-49,-13,4.33,78,14
Inferior temporal G,37,L,-47,-66,1,4.37,78,14
Lingual G,17/18,R,23,-59,4,3.85,694,14
Lingual G,17/18,L,-15,-67,6,3.48,853,14
Fusiform G,37,R,42,-44,-14,4.51,78,14
Fusiform G,37,L,-42,-59,-8,4.96,78,14
Superior occipital G,19,L,-28,-71,21,5.12,263,14
Middle occipital G,37,R,50,-63,-8,4.73,78,14
Middle occipital G,18,R,2,-93,17,4.02,350,14
Middle occipital G,37,L,-34,-74,1,4.09,78,14
Cuneus,18,R,1,-92,-7,3.85,78,14
Cuneus,18,L,0,-88,-10,3.82,78,14
Insula,13,R,31,19,0,5.21,263,14
Insula,13,L,-25,18,7,4.68,263,14
Lentiform nucleus,,R,22,-10,7,4.13,263,14
Lentiform nucleus,,L,-17,-9,1,4.14,263,14
Caudate,,R,15,-2,18,3.88,263,14
Caudate,,L,-15,-3,15,4.01,263,14
Thalamus,,R,17,-15,11,4.42,263,14
Thalamus,,L,-15,-10,8,4.22,263,14
Brainstem,,R,8,-28,-21,3.72,486,14
Brainstem,,L,-14,-21,-15,3.53,263,14
Red nucleus,,R,9,-18,-7,3.40,263,14
Red nucleus,,L,-9,-20,-6,3.17,263,14
Cerebellum,,R,6,-56,-30,4.71,78,14
Cerebellum,,L,-37,-54,-30,4.75,78,14
