importance,++
author,Pochon et al
title,The neural system that bridges reward and cognition in humans  An fMRI study
table_name,Table 1-1 Activation and deactivation associated with reward - positive reward
contrast,3-back > 2-back > 1-back > 0-back
keywords,fMRI; working memory; reward value; monetary reward; talairach; positive reward; n-back task; visual letters
Name,Left/Right,Broadman Area,X(R),Y(A),Z(S),t,p value,subjects
Hippocampus,L,,-27,-24,-15,6.83,0.05,6
Mesial frontal cortex,L,10/32,-12,45,-6,6.84,0.05,6
Insula,R,,36,-6,18,6.56,0.05,6
Mesial frontal cortex,R,10/32,6,42,-3,5.93,0.05,6
Temporal pole,L,21,-48,6,-24,6.56,0.05,6
Temporal pole,L,21,-48,6,-27,5.04,0.05,6
Superior/middle frontal gyrus,L,11,-9,39,-9,6.51,0.05,6
Orbital sulcus,L,11/47,-27,39,-12,4.75,0.001,6
Middle temporal gyrus,R,22,45,-30,3,6.42,0.05,6
Temporal pole,R,21,42,6,-30,4.02,0.001,6
Hippocampus,R,,24,-27,-18,6.18,0.05,6
Hippocampus,R,,36,3,-18,3.71,0.001,6
Orbital sulcus,L,11,-18,45,-9,6.18,0.05,6
Parital-occipital junction,R,39,33,-54,24,5.83,0.05,6
Orbital gyrus,L,47/11,-27,24,-6,5.60,0.05,6
Anterior insula,L,,-27,24,-6,5.60,0.05,6
SGPFC/ventral striatum,,25,0,9,-12,5.54,0.05,6
Insula,R,,51,-3,-12,5.09,0.05,6
Superior frontal gyrus,R,8,27,3,42,4.85,0.05,6
ACC,L,24/32,-12,39,6,4.69,0.001,6
Superior frontal sulcus,L,8,-21,18,39,4.25,0.001,6
Superior frontal sulcus,R,8,12,45,36,4.08,0.001,6
