importance,+
author,Di et al
title,Anterior cingulate cortex differently modulates fronto-parietal functional connectivity between resting-state and working memory tasks
table_name,Table 1-1 Clusters that showed  increased or decreased activations in the 2-back condition compared with the 1-back condition in the block designed runs 2-back> 1-back
contrast,2-back > 1-back
keywords,fMRI; working memory; MNI; n-back task; two-back task;visual letters
p value,NV,X(R),Y(A),Z(S),t,Left/Right,Name,subjects
0.001,2.108,24,11,56,11.65,Right,middle frontal gyrus,49
0.001,2.108,-24,8,50,10.72,Left,middle frontal gyrus,49
0.001,2.108,-48,5,32,9.810,Left,precentral gyrus,49
0.001,2.897,-6,-61,44,10.73,,Precuneus,49
0.001,2.897,-18,-70,50,10.68,Left,superior parietal lobule,49
0.001,2.897,21,-67,53,10.44,Right,superior parietal lobule,49
0.004,120,48,5,23,7.00,Right,precentral gyrus,49
0.003,149,27,-61,-37,6.92,Right,cerebellum,49
0.003,149,9,-73,-31,4.78,Right,cerebellum,49
0.003,136,-18,5,11,5.84,Left,caudate,49
0.003,136,-30,26,2,5.75,Left,anterior insula,49
0.038,63,-33,50,2,4.20,Left,middle frontal gyrus,49
0.038,63,-42,50,2,4.02,Left,middle frontal gyrus,49
