importance,+
author,Koppelstaetter et al
title,Does caffeine modulate verbal working memory processes - An fMRI study
table_name,Table 2 - Activation foci of the contrasts of experimental conditions vs. reference (displaying the working memory network)
contrast,2-back > 0-back
keywords,fMRI; working memory; talairach; n-back task; two-back task; verbal
Name,Left/Right,X(R),Y(A),Z(S),t,subjects
Anterior cingulate,L,-4,18,40,11.47,15
Anterior cingulate,R,4,18,40,11.47,15
Middle frontal gyrus,L,-40,32,17,16.61,15
Inferior frontal gyrus,R,48,28,13,9.15,15
Middle frontal gyrus,L,-28,6,48,12.45,15
Middle frontal gyrus,R,28,2,44,11.42,15
Superior parietal lobule,L,-28,-60,44,11.92,15
Superior parietal lobule,R,24,-60,40,7.42,15
Inferior parietal lobule,L,-48,-37,46,6.99,15
Inferior parietal lobule,R,48,-41,39,10.89,15
Precuneus,L,-8,-60,47,9.12,15
Precuneus,R,20,-64,47,8.17,15
Cuneus,L,-16,-93,5,8.4,15
Cuneus,R,20,-93,5,7.59,15
Cerebellum,L,-32,-63,-24,6.37,15
Cerebellum,R,28,-64,-32,6.18,15
