importance,+
author,Nobre et al
title,Orienting Attention to Locations in Perceptual Versus Mental Representations
table_name,Table 1 - Common Brain Activations to Precues and Retrocues
keywords,fMRI; working memory; decision making; talairach; visual spatial;precue;retrocue
Left/Right,Name,X(R),Y(A),Z(S),z-score,cluster size,subjects
,Med SPL (precuneus),2,-57,54,6.20,1123,10
,Med SPL (precuneus),-9,-51,51,5.27,1123,10
,Med SPL (precuneus),-12,-54,48,5.46,1123,10
R,SPL (superior parietal gyrus),9,-60,69,5.82,1123,10
R,SPL (superior parietal gyrus),12,-63,60,5.83,1123,10
R,SPL (superior parietal gyrus),18,-72,51,6.09,1123,10
R,IPS (postcentral gyrus to superior occipital gyrus),39,-42,51,6.14,1123,10
R,IPS (postcentral gyrus to superior occipital gyrus),27,-54,45,4.94,1123,10
R,IPS (postcentral gyrus to superior occipital gyrus),27,-57,60,4.71,1123,10
R,IPS (postcentral gyrus to superior occipital gyrus),15,-60,54,5.67,1123,10
R,IPS (postcentral gyrus to superior occipital gyrus),27,-66,39,4.27,1123,10
R,IPS (postcentral gyrus to superior occipital gyrus),24,-72,39,5.97,1123,10
R,IPS (postcentral gyrus to superior occipital gyrus),33,-81,24,5.07,1123,10
L,SPL (superior parietal gyrus),-21,-63,54,5.24,1123,10
L,SPL (superior parietal gyrus),-12,-72,45,5.98,1123,10
L,IPS (superior parietal lobule to superior occipital gyrus),-15,-60,54,5.09,1123,10
L,IPS (superior parietal lobule to superior occipital gyrus),-18,-75,42,6.25,1123,10
L,IPS (superior parietal lobule to superior occipital gyrus),-30,-78,30,5.90,1123,10
L,IPS (superior parietal lobule to superior occipital gyrus),-39,-75,27,4.90,1123,10
L,IPS (superior parietal lobule to superior occipital gyrus),-33,-81,27,5.68,1123,10
L,IPS (superior parietal lobule to superior occipital gyrus),-33,-84,21,5.93,1123,10
L,IPL (supramarginal gyrus),-39,-48,33,4.27,78,10
R,PMC/PFC (precentral sulcus/superior frontal sulcus),30,6,57,4.27,24,10
L,PMC/PFC (precentral sulcus/superior frontal sulcus),-27,0,57,6.16,149,10
L,PMC/PFC (precentral sulcus/superior frontal sulcus),-42,-3,42,5.11,149,10
R,visual (middle occipital gyrus),48,-69,-3,4.34,72,10
L,visual (middle occipital gyrus and collateral sulcus),-45,-78,-3,6.12,109,10
L,visual (middle occipital gyrus and collateral sulcus),-45,-69,-9,5.70,109,10
L,visual (middle occipital gyrus and collateral sulcus),-48,-57,-9,5.40,109,10
,Brainstem,-6,-21,-9,4.21,19,10
