importance,+BA
author,Reilhac et al
title,Role of the superior parietal lobules in letter-identity processing within strings FMRI evidence from skilled and dyslexicreaders
table_name,Table 2-1 Cerebral regions activated during the letter string comparis on task for the substitution condition relative to baseline - Sub Dif - string difference
contrast,Sub-Dif > baseline
keywords,fMRI; working memory; decision making; talairach; reading; visual word recognition;Sub-Dif
Left/Right,Name,Broadman Area,X(R),Y(A),Z(S),cluster size,p value,subjects
Left,superior parietal lobule/precuneus,7,-22,-63,53,669,0.001,12
Left,inferior parietal lobule,40,-50,-35,48,669,0.001,12
Left,supramarginal gyrus,40,30,-47,32,76,0.001,12
Right,superior parietal lobule,7,30,-48,50,317,0.001,12
Right,precuneus,7,26,-71,50,317,0.001,12
Right,inferior parietal lobule,40,38,-38,48,317,0.001,12
Left,post central gyrus,1/2/3,-63,-18,23,20,0.001,12
Left,superior temporal gyrus,22,51,5,-9,115,0.001,12
Right,superior temporal gyrus,22,-46,13,-6,185,0.001,12
Left,inferior temporal gyrus,20,-48,-22,-16,28,0.001,12
Left,middle temporal gyrus,21/37,-48,-37,-2,65,0.001,12
Left,fusiform gyrus,37,-55,-49,-16,23,0.001,12
Right,middle frontal gyrus,9/46/10,53,18,40,87,0.001,12
Right,middle frontal gyrus,,53,32,15,57,0.001,12
Right,middle frontal gyrus,,42,55,8,55,0.001,12
Left,middle frontal gyrus,9/10,-51,12,40,114,0.001,12
Left,middle frontal gyrus,9/10,-36,36,13,134,0.001,12
Left,inferior frontal gyrus,44,-59,16,18,52,0.001,12
Left,precentral gyrus,4/6,36,-2,44,32,0.001,12
,Cerebellum,,34,-63,-19,662,0.001,12
,Cerebellum,,-38,-63,-19,242,0.001,12
