importance,++
author,Jarcho et al
title,Developmental effects of decision-making on sensitivity to reward - An fMRI study
table_name,Table 6-2 Receipt for Adolescents during Choice trials compared with Baseline
contrast,Large Incentives > Baseline
keywords,fMRI; outcome phase; decision making;MNI; monetary reward; high incentive; young; visual cue
Name,Broadman Area,X(R),Y(A),Z(S),cluster size,p value,subjects
Precuneus,7,33,-63,42,428,0.005,26
Insula,,33,25,2,370,0.005,26
Inferior Parietal Lobule,40,-39,-55,46,238,0.005,26
Precentral Gyrus,6,-43,1,34,149,0.005,26
Fusiform Gyrus,37,41,-63,-6,97,0.005,26
Middle Occipital Gyrus,18,-27,-91,2,83,0.005,26
Cingulate Gyrus,31,5,-39,38,54,0.005,26
Middle Frontal Gyrus,8,9,21,50,51,0.005,26
Caudate,,13,17,6,36,0.005,26
Insula,,-31,21,2,30,0.005,26
Middle Temporal Gyrus,37,-49,-35,-10,29,0.005,26
Culmen,,9,-27,-10,17,0.005,26
