importance,++
author,Jarcho et al
title,Developmental effects of decision-making on sensitivity to reward - An fMRI study
table_name,Table 8-2 Receipt for Adults during Choice trials compared with Baseline
contrast,Large Incentives > Baseline
keywords,fMRI; outcome phase; decision making;MNI; monetary reward; high incentive;adult; visual cue
Name,Broadman Area,X(R),Y(A),Z(S),cluster size,p value,subjects
Inferior Parietal Lobule,40,42,-59,50,258,0.005,26
Middle Frontal Gyrus,9,42,13,30,211,0.005,26
Inferior Occipital Gyrus,18,-35,-91,-2,146,0.005,26
Precuneus,19,-27,-63,42,143,0.005,26
Inferior Frontal Gyrus,9,-43,5,34,118,0.005,26
Fusiform Gyrus,20,37,-43,-18,57,0.005,26
Insula,,33,26,2,57,0.005,26
Lingual Gyrus,18,26,-88,-6,53,0.005,26
Superior Frontal Gyrus,8,10,17,53,39,0.005,26
Middle Frontal Gyrus,6,33,13,62,25,0.005,26
Cingulate Gyrus,23,1,-31,30,21,0.005,26
Insula,,-31,21,2,13,0.005,26
