importance,+
author,Hauser et al
title,Role of the Medial Prefrontal Cortex in Impaired Decision Making in Juvenile Attention-Deficit-Hyperactivity Disorder
table_name,Table 2 - Group Differences Between Patients With ADHD and Healthy Adolescents for reward prediction error (RPE) outcome - healthy>adhd
contrast,expected reward > received reward and control > adhd
keywords,fMRI; outcome phase; decision making; monetary reward; MNI; reversal learning; task switching;visual object
Name,Left/Right,cluster size,X(R),Y(A),Z(S),z-score,subjects
RPEoutcome ACC,Right,106,24,33,15,4.48,20
mPFC,Bilateral,406,-8,54,18,4.35,20
mPFC,Left,200,-8,48,42,4.16,20
MTG,Right,1094,51,-39,2,4.29,20
STG,Left,170,-65,-54,18,4.27,20
STG,Left,234,-56,-24,-5,4.26,20
STG,Left,123,-36,-6,-11,3.94,20
SMG,Right,192,71,-30,30,4.24,20
SMG,Left,204,-57,-28,21,3.85,20
MFG,Right,134,26,15,21,3.95,20
Precentral,Right,142,57,-7,45,3.76,20
Lingual,Right,151,20,-55,-9,3.75,20
