importance,+
author,Kohno et al
title,Risky Decision Making - Prefrontal Cortex and Mesocorticolimbic Functional Connectivity in Methamphetamine Dependence
table_name,Table 3 - Brain Regions in Which the Relationship Between RSFC of the Right DLPFC and Modulation of Activation in the Right DLPFC by Pump Number Varied by Group - With Positive Relationships in Controls
contrast,-
keywords,fMRI; decision making; monetary reward; MNI; risk choice; Balloon Analog Risk Task;visual object; gambling
Name,Left/Right,cluster size,X(R),Y(A),Z(S),z-score,subjects
Amygdala,R,2549,16,-8,-12,4.63,27
Hippocampus,L/R,2549,16,-8,-20,4.38,27
Thalamus,L/R,2549,-4,-8,10,4.01,27
Putamen,L/R,2549,20,6,4,4.06,27
Caudate,L/R,2549,-16,-8,20,4.00,27
Insula cortex,R,2549,34,12,10,3.32,27
Subcallosal Cortex,R,2549,12,20,-14,2.75,27
Nucleus Accumbens,R,2549,12,12,-12,2.40,27
Cerebellum,L/R,1548,-32,-68,-28,4.38,27
Superior frontal gyrus,R,610,20,66,00,3.92,27
Frontal medial cortex,,610,10,-54,-10,3.54,27
Orbital frontal cortex,R,610,18,26,-14,3.33,27
Inferior frontal gyrus,L/R,286,-46,6,2,3.91,27
Paracingulate gyrus,,125,4,12,50,4.52,27
