importance,author,title,table_name,contrast,keywords,Name,X(R),Y(A),Z(S),p value,subjects,Left/Right,NV,t,Broadman Area,z-score
+,Aharon et al,Beautiful Faces Have Variable Reward Value - fMRI and Behavioral Evidence,Table 2 E - Post-Hoc Fixed Effects Analysis - Contrast - Beautiful Female vs Beautiful Male,Beautiful Female > Beautiful Male,fMRI; outcome phase; viewing; social reward; talairach; passive,NAc and other VS,7,9,-2,0.00014,6,,,,,
+,Aharon et al,Beautiful Faces Have Variable Reward Value - fMRI and Behavioral Evidence,Table 2 E - Post-Hoc Fixed Effects Analysis - Contrast - Beautiful Female vs Beautiful Male,Beautiful Female > Beautiful Male,fMRI; outcome phase; viewing; social reward; talairach; passive,NAc and other VS,-9,9,5,6.6e-07,6,,,,,
+,Aharon et al,Beautiful Faces Have Variable Reward Value - fMRI and Behavioral Evidence,Table 2 E - Post-Hoc Fixed Effects Analysis - Contrast - Beautiful Female vs Beautiful Male,Beautiful Female > Beautiful Male,fMRI; outcome phase; viewing; social reward; talairach; passive,NAc and other VS,-12,3,-2,3.8e-05,6,,,,,
+,Aharon et al,Beautiful Faces Have Variable Reward Value - fMRI and Behavioral Evidence,Table 2 E - Post-Hoc Fixed Effects Analysis - Contrast - Beautiful Female vs Beautiful Male,Beautiful Female > Beautiful Male,fMRI; outcome phase; viewing; social reward; talairach; passive,VT,13,-15,-5,4.9e-06,6,,,,,
+,Aharon et al,Beautiful Faces Have Variable Reward Value - fMRI and Behavioral Evidence,Table 2 E - Post-Hoc Fixed Effects Analysis - Contrast - Beautiful Female vs Beautiful Male,Beautiful Female > Beautiful Male,fMRI; outcome phase; viewing; social reward; talairach; passive,VT,19,-21,-2,4.8e-05,6,,,,,
+,Aharon et al,Beautiful Faces Have Variable Reward Value - fMRI and Behavioral Evidence,Table 2 E - Post-Hoc Fixed Effects Analysis - Contrast - Beautiful Female vs Beautiful Male,Beautiful Female > Beautiful Male,fMRI; outcome phase; viewing; social reward; talairach; passive,SLEA,19,9,-15,5.9e-06,6,,,,,
+,Aharon et al,Beautiful Faces Have Variable Reward Value - fMRI and Behavioral Evidence,Table 2 E - Post-Hoc Fixed Effects Analysis - Contrast - Beautiful Female vs Beautiful Male,Beautiful Female > Beautiful Male,fMRI; outcome phase; viewing; social reward; talairach; passive,SLEA,-18,9,-15,1.4e-05,6,,,,,
+,Aharon et al,Beautiful Faces Have Variable Reward Value - fMRI and Behavioral Evidence,Table 2 E - Post-Hoc Fixed Effects Analysis - Contrast - Beautiful Female vs Beautiful Male,Beautiful Female > Beautiful Male,fMRI; outcome phase; viewing; social reward; talairach; passive,SLEA,-30,-3,-8,-2.2e-05,6,,,,,
+,Aharon et al,Beautiful Faces Have Variable Reward Value - fMRI and Behavioral Evidence,Table 2 E - Post-Hoc Fixed Effects Analysis - Contrast - Beautiful Female vs Beautiful Male,Beautiful Female > Beautiful Male,fMRI; outcome phase; viewing; social reward; talairach; passive,GOb,28,45,-5,-1.4e-07,6,,,,,
+,Aharon et al,Beautiful Faces Have Variable Reward Value - fMRI and Behavioral Evidence,Table 2 E - Post-Hoc Fixed Effects Analysis - Contrast - Beautiful Female vs Beautiful Male,Beautiful Female > Beautiful Male,fMRI; outcome phase; viewing; social reward; talairach; passive,GOb,-21,18,-8,9.5e-08,6,,,,,
