importance,++
author,Cohen et al
title,Individual differences in extraversion and dopamine genetics predict neural reward responses
table_name,Table 1 Study 2 anticipation
contrast,reward > no reward
keywords,fMRI; anticipation phase; MNI; extraversion; dopamine; monetary reward; decision making; performance-dependent; reward magnitude
Left/Right,Name,Broadman Area,t,X(R),Y(A),Z(S),subjects
R.,parietal,40,10.23,56,-38,49,16
L.,dorsolateral PFC,45,7.69,-52,35,14,16
L.,posterior temporal,22,6.09,-59,-52,21,16
R.,insula,48,5.95,49,14,-7,16
L.,temporal/insula,21/48,5.88,-45,-7,-10,16
R.,parietal,40,5.84,60,-45,28,16
R.,thalamus,,5.12,7,-10,11,16
R.,ventrolateral PFC,6,5.02,53,7,11,16
R.,cerebellum,,4.81,49,-49,-35,16
L.,temporal pole,38/21,4.70,-56,7,-14,16
L.,thalamus,,4.69,-10,-10,14,16
R.,orbitofrontal cortex,11,4.54,25,49,-7,16
L.,caudate,,4.45,-17,-21,21,16
L.,superior temporal gyrus,21,4.29,-63,0,-7,16
