importance,+
author,Abler et al
title,From uncertainty to reward - BOLD characteristics differentiate signaling pathways
table_name,Table 1-1: fMRI Results: ANOVA 1 - modeling effects over the whole trial - increasing reward magnitude
keywords,fMRI; MNI; reward magnitude; reward value; money reward; anticipation phase; outcome phase; anova; decision making; performance-dependent; increasing reward magnitude
Name,Left/Right,Broadman Area,NV,t,X(R),Y(A),Z(S)
ventral striatum,R,,441,4.38,10,6,2
ventral striatum,L,,267,5.31,-8,8,2
anterior insula/IFG,R,,1101,7.67,32,26,-8
anterior insula/IFG,L,,1083,7.12,-40,20,-12
orbitofrontal cortex,L,,255,4.21,-30,54,-4
dorsal anterior cingulate cortex,,,555,4.64,-10,26,32
dorsal anterior cingulate cortex,,,135,4.43,10,28,34
medial temporal gyrus,R,,441,4.67,54,-38,-6
medial temporal gyrus,L,,106,4.50,-58,-36,-16
DLPFC,R,,403,4.65,44,18,24
DLPFC,,,159,3.72,40,36,16
DLPFC,L,,215,3.92,-46,6,38
lateral occipital cortex,R,,2160,7.45,42,-90,-6
lateral occipital cortex,L,,2767,6.41,-40,-90,-8
