importance,+
author,Kirscg et al
title,Anticipation of reward in a nonaversive differential conditioning paradigm and the brain reward system
table_name,Table 1 - Locations and T values for the significant activations for the contrast monetary reward > visual cue
contrast,reward > no reward
keywords,fMRI; talairach; monetary reward; anticipation phase; reward magnitude; performance-dependent
Left/Right,Name,Broadman Area,t,X(R),Y(A),Z(S),subjects
Left,thalamus,,9.61,-9,-15,1,27
Right,thalamus,,9.36,18,-8,9,27
Left,substantia nigra,,7.36,-9,-15,-12,27
Right,substantia nigra,,8.50,9,-24,-9,27
Left,nucleus accumbens,,7.69,-11,8,-5,27
Right,nucleus accumbens,,9.18,13,8,-4,27
Left,putamen,,12.14,-21,6,-5,27
Right,putamen,,11.95,15,9,-3,27
Left,globus pallidus,,8.78,-15,-9,-7,27
Right,globus pallidus,,8.32,18,-12,1,27
Left,orbitofrontal cortex,47,7.58,-30,20,-14,27
Right,orbitofrontal cortex,47,7.61,27,14,-16,27
Left,cingulate gyrus,24,9.92,-9,8,44,27
Right,cingulate gyrus,32,9.77,6,16,35,27
Left,insula,13,7.04,-50,-22,20,27
Right,insula,13,9.69,36,20,2,27
Left,cuneus,17,9.53,0,84,10,27
Left,lingual gyrus,17,7.69,-18,-97,-8,27
Right,lingual gyrus,18,9.75,18,-70,-12,27
Left,middle occipital gyrus,18,7.54,-27,-96,5,27
Right,middle occipital gyrus,18,8.82,30,-85,-1,27
Left,inferior occipital gyrus,18,7.67,-36,-82,-6,27
Left,precentral gyrus,4,7.93,-39,-15,57,27
Right,precentral gyrus,6,7.24,48,-1,41,27
Left,medial frontal gyrus,6,6.82,-9,-21,45,27
Right,medial frontal gyrus,6,7.52,50,5,47,27
