importance,+
author,Kirscg et al
title,Anticipation of reward in a nonaversive differential conditioning paradigm and the brain reward system
table_name,Table 2 - Locations and T values for the significant activations for the contrast monetary reward > verbal reward
contrast,monetary reward > social reward
keywords,fMRI; talairach; monetary reward; anticipation phase; reward magnitude
Left/Right,Name,Broadman Area,t,X(R),Y(A),Z(S),subjects
Left,thalamus,,6.37,0,-5,9,27
Right,thalamus (medial dorsal nucleus,,7.46,6,-14,6,27
Left,substantia nigra,,6.42,-9,-18,-7,27
Right,nucleus accumbens,,6.82,12,8,-6,27
Left,putamen,,7.08,-18,8,-11,27
Right,putamen,,6.50,16,8,-3,27
Left,orbitofrontal cortex,47,6.87,-24,17,-11,27
Left,cingulate gyrus,24,7.07,-3,2,39,27
Right,cingulate gyrus,24,7.83,3,-4,39,27
Right,insula,13,7.25,33,20,2,27
Right,lingual gyrus,19,6.22,15,-62,-17,27
Right,precentral gyrus,6,6.41,50,2,44,27
