importance,+
author,Knutson et al
title,Anticipation of Increasing Monetary Reward Selectively Recruits Nucleus Accumbens
table_name,Table 1-3 Regressor of interest Z scores and Talairach coordinates of peak activation foci right/anterior/superior (RAS)
contrast,high reward > low reward
keywords,fMRI; reward magnitude; monetary reward; MID; anticipation phase; talairach;performance-dependent
Left/Right,Name,z-score,X(R),Y(A),Z(S),subjects
Right,NAcc,2.73,12,17,-2,8
Left,caudate,3.07,-7,0,12,8
Right,caudate,3.43,8,3,10,8
Left,putamen,2.07,-17,14,-4,8
Right,putamen,2.38,23,-1,6,8
,Anterior thalamus,3.20,4,-2,9,8
,Anterior cingulate,2.31,1,21,30,8
,Anterior cingulate,2.24,1,18,30,8
,Mesial prefrontal cortex,2.34,6,34,24,8
,Supplementary motor area,2.53,-1,-2,60,8
,Posterior cingulate,2.54,1,-25,32,8
,Cerebellar vermis,2.24,0,-49,-10,8
