importance,+
author,Spreckelmeyer et al
title,Anticipation of monetary and social reward differently activates mesolimbic brain structures in men and women
table_name,Table 1-1 Brain regions showing proportional activation to increasing anticipated reward
contrast,high reward > low reward
keywords,fMRI; reward value; anticipation phase; monetary reward; MID; talairach; performance-dependent
Left/Right,Name,Broadman Area,X(R),Y(A),Z(S),z-score,cluster size,subjects
R,NAcc,,9,15,-1,7.01,451,32
R,thalamus,,3,-17,12,6.92,,32
L,NAcc,,-9,9,0,6.84,,32
R,inferior middle occipital lobe,18/19,24,-89,18,7.21,417,32
L,inferior middle occipital lobe,18/19,-21,-90,10,7.23,102,32
R,inferior frontal gyrus,47,33,26,-9,5.06,17,32
L,precuneus,7,-12,-65,34,5.70,15,32
R,inferior middle occipital lobe,18/19,24,-90,16,5.67,91,32
R,NAcc,,9,15,-1,6.24,69,32
R,anterior cingulum,,15,32,-4,5.73,,32
R,caudate,,15,-2,17,5.44,,32
L,NAcc,,-9,12,-1,6.23,58,32
R,cuneus,18,12,-69,15,5.97,27,32
R,superior occipital gyrus,39,39,-77,26,5.63,14,32
L,amygdala,,-21,2,-10,5.64,13,32
L,thalamus,,-3,32,2,5.78,405,32
R,thalamus,,3,-17,12,4.73,,32
L,putamen,,-21,11,-6,4.52,,32
L,inferior middle occipital lobe,18/19,-21,-90,10,5.56,112,32
L,(dorsal) anterior cingulum,,-6,28,26,5.33,110,32
R,(dorsal) anterior cingulum,,0,19,32,4.03,,32
R,NAcc,,15,9,5,4.73,108,32
R,putamen,,18,-2,11,3.99,,32
R,inferior middle occipital lobe,18/19,21,-90,10,4.73,98,32
R,cuneus,18,12,-72,15,4.07,89,32
R,(ventral) anterior cingulum,,3,49,-13,4.76,65,32
R,posterior cingulum,30,21,-52,5,4.04,22,32
