importance,+
author,Spreckelmeyer et al
title,Anticipation of monetary and social reward differently activates mesolimbic brain structures in men and women
table_name,Table 1-1 Brain regions showing proportional activation to increasing anticipated reward
contrast,high reward > low reward
keywords,fMRI; reward value; anticipation phase; social reward; SID; talairach; performance-dependent
Left/Right,Name,Broadman Area,X(R),Y(A),Z(S),z-score,cluster size,subjects
R,inferior middle occipital lobe,18/19,27,-90,13,5.15,52,32
L,putamen,,-18,12,-1,4.31,34,32
L,NAcc,,-9,6,5,3.78,,32
R,putamen,,21,9,8,3.87,23,32
L,inferior middle occipital lobe,18/19,-24,-90,10,5.31,21,32
R,inferior frontal gyrus,,30,32,-2,4.27,14,32
R,inferior middle occipital lobe,18/19,24,-90,10,2.91,14,32
L,putamen,,-18,12,-1,3.01,11,32
R,putamen,,21,9,8,2.83,10,32
L,putamen,,-18,5,-8,4.25,83,32
L,NAcc,,-9,6,5,4.10,,32
R,thalamus,,0,-17,9,3.92,,32
R,inferior middle occipital lobe,18/19,27,-87,13,4.98,51,32
R,cuneus,18,15,-92,16,4.30,,32
L,inferior middle occipital lobe,18/19,-24,-90,10,5.44,22,32
R,middle temporal gyrus,39,42,-57,25,4.41,19,32
R,insula,13,24,18,2,4.04,15,32
R,(dorsal) anterior cingulum,,0,24,18,3.73,14,32
L,(dorsal) anterior cingulum,,-6,25,26,3.36,,32
R,caudate,,6,0,3,4.05,13,32
