importance,+
author,Tobler et al
title,Reward Value Coding Distinct From Risk Attitude-Related Uncertainty Coding in Human Reward Systems
table_name,Table 2-2 - Areas more strongly activated by stimuli associated with larger probability
contrast,high probability > low probability
keywords,fMRI; decision making;safe choice; anticipation phase; monetary reward; MNI; performance-dependent
Name,Left/Right,X(R),Y(A),Z(S),z-score,subjects
Striatum (ventral putamen),Left,-10,4,-4,4.0,16
Midbrain,Right,18,-18,-12,3.6,16
Midbrain,Left,-20,-16,-14,3.6,16
Posterior orbitofrontal cortex,Right,18,18,-14,4.7,16
Medial orbitofrontal cortex,Left,-2,48,-12,3.4,16
Ventromedial prefrontal cortex,Right,8,58,10,3.3,16
Ventromedial prefrontal cortex,Left,-4,64,8,3.2,16
Lateral prefrontal cortex,Right,52,26,-2,3.5,16
Lateral prefrontal cortex,Right,28,42,26,3.4,16
Lateral prefrontal cortex,Left,-34,48,10,3.8,16
