importance,+
author,Aharon et al
title,Beautiful Faces Have Variable Reward Value - fMRI and Behavioral Evidence
table_name,Table 2 B - Post-Hoc Fixed Effects Analysis - Contrast - Beautiful Female versus Beautiful Male
keywords,fMRI; outcome phase; viewing; social reward; talairach; passive
Name,X(R),Y(A),Z(S),p value,subjects
NAc and other VS,16,18,-5,3.3E-6,6
NAc and other VS,-6,15,-2,5.9E-4,6
VT,13,-15,-5,2.4E-4,6
SLEA,16,-9,-8,2.1E-4,6
SLEA,-24,3,-18,2.5E-4,6
GOb,19,48,-11,8.5E-6,6
GOb,-21,33,-8,2.0E-6,6
GOb,-21,45,-5,-3.9E-9,6
GOb,34,42,-2,-8.6E-11,6
GOb,13,54,-8,1.9E-8,6
GOb,-33,24,2,-6.2E-5,6
