importance,+
author,Cox et al
title,Learning to Like  A Role for Human Orbitofrontal Cortex in Conditioned Reward
table_name,Table 1 - activated regions during the presentation of reward versus negative feedback in the conditioning task
contrast,reward > negative feedback
keywords,fMRI;outcome phase;decision making;monetary reward;talairach;gambling;conditioning task
Name,Left/Right,X(R),Y(A),Z(S),t,subjects
Medial OFC,,0,44,-8,4.84,22
Lateral OFC,L,-16,42,-18,4.62,22
Lateral OFC,L,-18,38,-20,5.23,22
Inferior frontal gyrus pars triangularis,L,-44,32,12,4.7,22
Middle frontal gyrus,L,-26,34,44,6.75,22
Posterior middle frontal gyrus,L,-22,4,48,4.64,22
Superior frontal gyrus,R,26,28,50,5.38,22
Posterior superior frontal gyrus (SMA),R,2,0,46,5.54,22
Cingulate cortex,L,-4,-18,40,5.06,22
Ventral striatum,L,-16,8,-12,8.37,22
Ventral striatum,R,28,0,-10,7.73,22
Dorsal thalamus,L,-10,-10,18,5.46,22
Superior temporal gyrus,L,-60,-12,2,7.57,22
Superior temporal gyrus,R,62,2,-4,7.63,22
Inferior temporal gyrus,L,-54,-62,-20,6.66,22
Cerebellar vermis,,0,-40,-34,4.89,22
Cerebellar hemisphere,L,-28,-54,-22,6.69,22
Retrosplenial cortex,R,2,-50,16,5.02,22
Lingual gyrus,L,-14,-66,-2,5.1,22
Occipital cortex,L,-26,-82,40,6.39,22
Occipital cortex,R,32,-74,32,5.4,22
Posterior inferior occipital cortex,R,28,-92,-18,4.82,22
Precentral gyrus,L,-38,-16,50,5.3,22
Precentral gyrus,R,24,-22,56,4.97,22
Precentral gyrus,R,58,0,36,6.36,22
Central sulcus,L,-46,-12,32,4.76,22
Paracentral lobule,R,2,-36,52,5.57,22
Superior parietal lobule,L,-22,-60,42,4.77,22
