importance,+
author,Elliott et al
title,Differential Response Patterns in the Striatum and Orbitofrontal Cortex to Financial Reward in Humans - A Parametric Functional Magnetic Resonance Imaging Study
table_name,Table 1 - Maximally activated voxels in areas in which significant evoked activity was related to reward level - All-or-nothing response to reward
keywords,fMRI; reward value; outcome phase; monetary reward; talairach; performance-dependent
Name,Left/Right,Broadman Area,X(R),Y(A),Z(S),z-score,p value
Occipital gyrus,R,19,39,-84,-12,6.44,0.05
Occipital gyrus,L,19,-36,-90,-12,6.03,0.05
Postcentral gyrus,L,3,-52,-27,60,6.02,0.05
Striatum,L,,-27,0,3,4.55,0.05
Striatum,R,,27,0,6,3.74,0.05
Amygdala,R,,24,-6,-18,3.67,0.05
Midbrain,L,,-9,-12,-24,3.10,0.05
Superior temporal gyrus,R,38,39,3,-39,4.41,0.01
Superior temporal gyrus,L,38,-33,9,-27,3.65,0.01
Insula,R,,45,-12,0,4.28,0.01
Frontal pole,R,9,15,63,30,4.27,0.01
Lateral OFC,L,11,-33,42,-15,3.79,0.01
