importance,+
author,Killgore et al
title,Cortical and limbic activation during viewing of high- versus low-calorie foods
table_name,Table 1 - Foci of maximally activated brain regions surviving low-calorie and high-calorie conjunction analysis
contrast,low-calorie and high-calorie
keywords,fMRI; outcome phase; viewing; food ; high vs low calorie food; talairach; passive; food photo reward
Left/Right,Name,Broadman Area,X(R),Y(A),Z(S),z-score,p value,subjects
L.,Insula,,-38,1,-10,3.17,0.005,13
L.,Amygdala/hippocampus,,-22,-12,-15,4.14,0.005,13
L.,Post-central gyrus,40,-63,-23,16,4.80,0.05,13
L.,Cerebellum,,-34,-36,-22,3.50,0.005,13
L.,Fusiform gyrus,,-44,-47,-16,3.26,0.005,13
L.,Inferior occipital gyrus,18,-26,-86,-14,3.78,0.005,13
R.,Medial frontal gyrus,10,4,54,-8,3.37,0.005,13
R.,Amygdala,,22,-5,-17,3.42,0.005,13
R.,Transverse temporal gyrus,42,61,-17,12,3.00,0.005,13
R.,Superior temporal gyrus,21,61,-48,10,4.02,0.005,13
R.,Precuneus,7,4,-51,36,2.83,0.005,13
R.,Posterior cingulate,23,2,-60,14,3.63,0.005,13
