importance,+
author,Killgore et al
title,Cortical and limbic activation during viewing of high- versus low-calorie foods
table_name,Table 2 - Foci of maximally activated brain regions in response to high-calorie foods
contrast,high-calorie > low-calorie
keywords,fMRI; outcome phase; viewing; food ; high vs low calorie food; talairach; passive; high calorie; food photo reward
Left/Right,Name,Broadman Area,X(R),Y(A),Z(S),z-score,p value,subjects
L.,Superior frontal gyrus,8,-24,41,40,5.61,0.05,13
L.,Amygdala,,-20,-1,-20,3.81,0.0005,13
L.,Parahippocampal gyrus,,-36,-3,-18,3.66,0.0005,13
L.,Thalamus,,-4,-12,1,5.45,0.05,13
L.,Middle temporal gyrus,21,-63,-43,0,3.58,0.0005,13
L.,Middle temporal gyrus,,-48,-75,24,3.85,0.0005,13
M.,Corpus callosum,,2,11,16,4.51,0.05,13
M.,Cerebellum,,0,-77,-31,4.20,0.0005,13
R.,Brainstem,,8,-29,-41,4.53,0.05,13
R.,Cerebellum,,40,-42,-28,4.06,0.0005,13
R.,Middle occipital gyrus,37,51,-66,-7,4.33,0.0005,13
