importance,+
author,Rogers et al
title,Distinct Portions of Anterior Cingulate Cortex and Medial Prefrontal Cortex Are Activated by Reward Processing in Separable Phases of Decision-Making Cognition
table_name,Table 3 - Output Phase - Significant Increases (Local Maxima) in BOLD Response Associated with Those Trials for Which Participants Won Their Chosen Gamble (Good Outcomes) Compared with Trials for Which They Lost (Bad Outcomes)
keywords,fMRI; decision phase; decision making; monetary reward; MNI; gambling; positive reward
Name,Broadman Area,cluster size,p value,z-score,X(R),Y(A),Z(S)
Posterior Orbitofrontal Cortex,,5205,0.000001,5.89,-10,16,-18
Posterior Orbitofrontal Cortex,,,,5.55,-12,10,-16
Posterior Orbitofrontal Cortex,,,,5.35,-14,14,-16
Posterior Orbitofrontal Cortex,,,,5.76,20,12,-18
Posterior Orbitofrontal Cortex,,,,5.11,22,20,-10
Anterior Cingulate Cortex,,,,4.86,12,20,-10
Superior Frontal Sulcus,,888,.000165,4.05,-22,24,54
Middle Frontal Gyrus,46,,,3.59,-22,30,50
Superior Frontal Sulcus,,,,3.64,-18,26,50
Superior Frontal Sulcus,,,,4.04,-28,32,44
Superior Frontal Sulcus,,,,3.67,-26,30,44
Superior Frontal Sulcus,,,,3.64,-26,26,38
