importance,author,title,table_name,keywords,Left/Right,Name,Broadman Area,t,X(R),Y(A),Z(S),z-score,NV,p value,cluster size,index_col,MNIX,MNIY,MNIZ,BA,TALX,TALY,TALZ,BA_name,BA_no
++,Cohen et al,Individual differences in extraversion and dopamine genetics predict neural reward responses,Table 1 Study 2 reward - no reward,fMRI; MNI; extraversion; dopamine; money reward; decision making; performance-dependent; reward magnitude,R.,amygdala,nan,6.58,18,-7,-28,,,,,0,18,-7,-28,Outside defined BAs,17,-9,-20,Outside defined BAs,
++,Cohen et al,Individual differences in extraversion and dopamine genetics predict neural reward responses,Table 1 Study 2 reward - no reward,fMRI; MNI; extraversion; dopamine; money reward; decision making; performance-dependent; reward magnitude,L.,amygdala,nan,6.47,-17,-3,-14,,,,,1,-17,-3,-14,Outside defined BAs,-17,-5,-8,Outside defined BAs,
++,Cohen et al,Individual differences in extraversion and dopamine genetics predict neural reward responses,Table 1 Study 2 reward - no reward,fMRI; MNI; extraversion; dopamine; money reward; decision making; performance-dependent; reward magnitude,L.,hippocampus,nan,5.4,-28,-24,-14,,,,,2,-28,-24,-14,Left-Hippocampus,-26,-25,-8,Left-Hippocampus,
++,Cohen et al,Individual differences in extraversion and dopamine genetics predict neural reward responses,Table 1 Study 2 reward - no reward,fMRI; MNI; extraversion; dopamine; money reward; decision making; performance-dependent; reward magnitude,L.,orbitofrontal cortex,11,5.31,-21,21,-25,,,,,3,-21,21,-25,Left-ParsOrbitalis (47),-21,16,-20,Left-ParsOrbitalis ,47.0
++,Cohen et al,Individual differences in extraversion and dopamine genetics predict neural reward responses,Table 1 Study 2 reward - no reward,fMRI; MNI; extraversion; dopamine; money reward; decision making; performance-dependent; reward magnitude,R.,precuneus,23,5.21,4,-56,35,,,,,4,4,-56,35,Right-DorsalPCC (31),4,-53,33,Right-DorsalPCC ,31.0
++,Cohen et al,Individual differences in extraversion and dopamine genetics predict neural reward responses,Table 1 Study 2 reward - no reward,fMRI; MNI; extraversion; dopamine; money reward; decision making; performance-dependent; reward magnitude,R.,orbitofrontal cortex,11,5.11,25,25,-21,,,,,5,25,25,-21,Right-ParsOrbitalis (47),24,20,-16,Right-ParsOrbitalis ,47.0
++,Cohen et al,Individual differences in extraversion and dopamine genetics predict neural reward responses,Table 1 Study 2 reward - no reward,fMRI; MNI; extraversion; dopamine; money reward; decision making; performance-dependent; reward magnitude,R.,posterior insula,nan,4.79,39,-21,14,,,,,6,39,-21,14,Right-PrimAuditory (41),37,-21,16,Right-PrimAuditory ,41.0
++,Cohen et al,Individual differences in extraversion and dopamine genetics predict neural reward responses,Table 1 Study 2 reward - no reward,fMRI; MNI; extraversion; dopamine; money reward; decision making; performance-dependent; reward magnitude,R.,nucleus accumbens,nan,4.6,11,0,-14,,,,,7,11,0,-14,Outside defined BAs,10,-2,-8,Outside defined BAs,
++,Cohen et al,Individual differences in extraversion and dopamine genetics predict neural reward responses,Table 1 Study 2 reward - no reward,fMRI; MNI; extraversion; dopamine; money reward; decision making; performance-dependent; reward magnitude,R.,nucleus accumbens,nan,4.52,14,11,-14,,,,,8,14,11,-14,Outside defined BAs,13,7,-9,Outside defined BAs,
++,Cohen et al,Individual differences in extraversion and dopamine genetics predict neural reward responses,Table 1 Study 2 reward - no reward,fMRI; MNI; extraversion; dopamine; money reward; decision making; performance-dependent; reward magnitude,R.,postcentral gyrus,4,4.44,53,-17,46,,,,,9,53,-17,46,Right-PrimSensory (1),52,-14,43,Right-PrimSensory ,1.0
++,Cohen et al,Individual differences in extraversion and dopamine genetics predict neural reward responses,Table 1 Study 2 reward - no reward,fMRI; MNI; extraversion; dopamine; money reward; decision making; performance-dependent; reward magnitude,L.,hippocampus,nan,4.23,-31,-14,-21,,,,,10,-31,-14,-21,Left-Hippocampus,-30,-16,-14,Left-Hippocampus,
++,Cohen et al,Individual differences in extraversion and dopamine genetics predict neural reward responses,Table 1 Study 2 reward - no reward,fMRI; MNI; extraversion; dopamine; money reward; decision making; performance-dependent; reward magnitude,L.,nucleus accumbens,nan,4.3,-7,4,8,,,,,11,-7,4,8,Outside defined BAs,-7,1,9,Outside defined BAs,
++,Cohen et al,Individual differences in extraversion and dopamine genetics predict neural reward responses,Table 1 Study 2 anticipation,fMRI; anticipation phase; MNI; extraversion; dopamine; money reward; decision making; performance-dependent; reward magnitude,R.,parietal,40,10.23,56,-38,49,,,,,12,56,-38,49,Right-SupramargGyr (40),56,-34,46,Right-SupramargGyr ,40.0
++,Cohen et al,Individual differences in extraversion and dopamine genetics predict neural reward responses,Table 1 Study 2 anticipation,fMRI; anticipation phase; MNI; extraversion; dopamine; money reward; decision making; performance-dependent; reward magnitude,L.,dorsolateral pfc,45,7.69,-52,35,14,,,,,13,-52,35,14,Left-dlPFC(lat) (46),-51,33,14,Left-dlPFC(lat) ,46.0
++,Cohen et al,Individual differences in extraversion and dopamine genetics predict neural reward responses,Table 1 Study 2 anticipation,fMRI; anticipation phase; MNI; extraversion; dopamine; money reward; decision making; performance-dependent; reward magnitude,L.,posterior temporal,22,6.09,-59,-52,21,,,,,14,-59,-52,21,Left-AngGyrus (39),-58,-51,22,Left-AngGyrus ,39.0
++,Cohen et al,Individual differences in extraversion and dopamine genetics predict neural reward responses,Table 1 Study 2 anticipation,fMRI; anticipation phase; MNI; extraversion; dopamine; money reward; decision making; performance-dependent; reward magnitude,R.,insula,48,5.95,49,14,-7,,,,,15,49,14,-7,Outside defined BAs,46,10,-1,Outside defined BAs,
++,Cohen et al,Individual differences in extraversion and dopamine genetics predict neural reward responses,Table 1 Study 2 anticipation,fMRI; anticipation phase; MNI; extraversion; dopamine; money reward; decision making; performance-dependent; reward magnitude,L.,temporal/insula,21/48,5.88,-45,-7,-10,,,,,16,-45,-7,-10,Left-SupTempGyrus (22),-43,-9,-5,Left-SupTempGyrus ,22.0
++,Cohen et al,Individual differences in extraversion and dopamine genetics predict neural reward responses,Table 1 Study 2 anticipation,fMRI; anticipation phase; MNI; extraversion; dopamine; money reward; decision making; performance-dependent; reward magnitude,R.,parietal,40,5.84,60,-45,28,,,,,17,60,-45,28,Right-AngGyrus (39),59,-43,28,Right-AngGyrus ,39.0
++,Cohen et al,Individual differences in extraversion and dopamine genetics predict neural reward responses,Table 1 Study 2 anticipation,fMRI; anticipation phase; MNI; extraversion; dopamine; money reward; decision making; performance-dependent; reward magnitude,R.,thalamus,nan,5.12,7,-10,11,,,,,18,7,-10,11,Right-Thalamus,6,-11,12,Right-Thalamus,
++,Cohen et al,Individual differences in extraversion and dopamine genetics predict neural reward responses,Table 1 Study 2 anticipation,fMRI; anticipation phase; MNI; extraversion; dopamine; money reward; decision making; performance-dependent; reward magnitude,R.,ventrolateral pfc,6,5.02,53,7,11,,,,,19,53,7,11,Right-Broca-Operc (44),50,5,14,Right-Broca-Operc ,44.0
