importance,author,title,table_name,contrast,keywords,Left/Right,Name,X(R),Y(A),Z(S),NV,t,subjects,Broadman Area,cluster size,z-score,p value
+++,Rodger et al,Inhibit  switch  and update - A within-subject fMRI investigation of executive control,Table 2 - Brain regions associated with working memory, n-back > control task,fMRI; working memory; MNI;visual shape color,Right,Middle Frontal Gyrus,33.0,3,54.0,3966.0,11.62,22,,,,
+++,Rodger et al,Inhibit  switch  and update - A within-subject fMRI investigation of executive control,Table 2 - Brain regions associated with working memory, n-back > control task,fMRI; working memory; MNI;visual shape color,Right,Middle Frontal Gyrus,33.0,3,54.0,292.0,11.62,22,,,,
+++,Rodger et al,Inhibit  switch  and update - A within-subject fMRI investigation of executive control,Table 2 - Brain regions associated with working memory, n-back > control task,fMRI; working memory; MNI;visual shape color,Left,Middle Frontal Gyrus,-48.0,3,45.0,401.0,8.61,22,,,,
+++,Rodger et al,Inhibit  switch  and update - A within-subject fMRI investigation of executive control,Table 2 - Brain regions associated with working memory, n-back > control task,fMRI; working memory; MNI;visual shape color,Right,Caudate,18.0,3,21.0,242.0,7.83,22,,,,
+++,Rodger et al,Inhibit  switch  and update - A within-subject fMRI investigation of executive control,Table 2 - Brain regions associated with working memory, n-back > control task,fMRI; working memory; MNI;visual shape color,Right,Superior Frontal Gyrus,36.0,36,30.0,242.0,8.28,22,,,,
+++,Rodger et al,Inhibit  switch  and update - A within-subject fMRI investigation of executive control,Table 2 - Brain regions associated with working memory, n-back > control task,fMRI; working memory; MNI;visual shape color,Right,Middle Frontal Gyrus,30.0,45,9.0,134.0,7.49,22,,,,
+++,Rodger et al,Inhibit  switch  and update - A within-subject fMRI investigation of executive control,Table 2 - Brain regions associated with working memory, n-back > control task,fMRI; working memory; MNI;visual shape color,Left,Insula,-30.0,21,3.0,50.0,8.23,22,,,,
+++,Rodger et al,Inhibit  switch  and update - A within-subject fMRI investigation of executive control,Table 2 - Brain regions associated with working memory, n-back > control task,fMRI; working memory; MNI;visual shape color,Left,Superior Frontal Gyrus,-36.0,57,15.0,188.0,6.26,22,,,,
+++,Rodger et al,Inhibit  switch  and update - A within-subject fMRI investigation of executive control,Table 2 - Brain regions associated with working memory, n-back > control task,fMRI; working memory; MNI;visual shape color,Left,Lentiform Nucleus,-12.0,0,3.0,496.0,8.75,22,,,,
+++,Rodger et al,Inhibit  switch  and update - A within-subject fMRI investigation of executive control,Table 2 - Brain regions associated with working memory, n-back > control task,fMRI; working memory; MNI;visual shape color,Right,Inferior Parietal Lobule,51.0,-39,45.0,1731.0,10.37,22,,,,
+++,Rodger et al,Inhibit  switch  and update - A within-subject fMRI investigation of executive control,Table 2 - Brain regions associated with working memory, n-back > control task,fMRI; working memory; MNI;visual shape color,Right,Inferior Parietal Lobule,51.0,-39,45.0,498.0,10.37,22,,,,
+++,Rodger et al,Inhibit  switch  and update - A within-subject fMRI investigation of executive control,Table 2 - Brain regions associated with working memory, n-back > control task,fMRI; working memory; MNI;visual shape color,Left,Inferior Parietal Lobule,-42.0,-48,51.0,211.0,8.87,22,,,,
+++,Rodger et al,Inhibit  switch  and update - A within-subject fMRI investigation of executive control,Table 2 - Brain regions associated with working memory, n-back > control task,fMRI; working memory; MNI;visual shape color,Right,Middle Temporal Gyrus,57.0,-54,9.0,22.0,5.46,22,,,,
+++,Rodger et al,Inhibit  switch  and update - A within-subject fMRI investigation of executive control,Table 2 - Brain regions associated with working memory, n-back > control task,fMRI; working memory; MNI;visual shape color,Left,Cerebellum,-33.0,-66,-27.0,257.0,7.3,22,,,,
+++,Rodger et al,Inhibit  switch  and update - A within-subject fMRI investigation of executive control,Table 2 - Brain regions associated with working memory, n-back > control task,fMRI; working memory; MNI;visual shape color,Right,Cerebellum,39.0,-60,-30.0,161.0,6.74,22,,,,
+++,Rodger et al,Inhibit  switch  and update - A within-subject fMRI investigation of executive control,Table 3 - Brain Regions associated with Inhibition,inhibiton task > control task,fMRI; MNI; inhibition;visual shape color,Right,Inferior Frontal Gyrus,51.0,12,24.0,59.0,6.12,22,,,,
+++,Rodger et al,Inhibit  switch  and update - A within-subject fMRI investigation of executive control,Table 3 - Brain Regions associated with Inhibition,inhibiton task > control task,fMRI; MNI; inhibition;visual shape color,Right,Middle Frontal Gyrus,33.0,0,42.0,25.0,4.82,22,,,,
+++,Rodger et al,Inhibit  switch  and update - A within-subject fMRI investigation of executive control,Table 3 - Brain Regions associated with Inhibition,inhibiton task > control task,fMRI; MNI; inhibition;visual shape color,Right,Medial Frontal Gyrus,9.0,24,45.0,21.0,5.75,22,,,,
+++,Rodger et al,Inhibit  switch  and update - A within-subject fMRI investigation of executive control,Table 3 - Brain Regions associated with Inhibition,inhibiton task > control task,fMRI; MNI; inhibition;visual shape color,Left,Inferior Parietal Lobule,-24.0,-63,48.0,59.0,5.65,22,,,,
+++,Rodger et al,Inhibit  switch  and update - A within-subject fMRI investigation of executive control,Table 3 - Brain Regions associated with Inhibition,inhibiton task > control task,fMRI; MNI; inhibition;visual shape color,Right,Inferior Parietal Lobule,57.0,-42,27.0,27.0,6.25,22,,,,
+++,Rodger et al,Inhibit  switch  and update - A within-subject fMRI investigation of executive control,Table 3 - Brain Regions associated with Inhibition,inhibiton task > control task,fMRI; MNI; inhibition;visual shape color,Right,Middle Temporal Gyrus,30.0,-57,33.0,249.0,6.02,22,,,,
+++,Rodger et al,Inhibit  switch  and update - A within-subject fMRI investigation of executive control,Table 3 - Brain Regions associated with Inhibition,inhibiton task > control task,fMRI; MNI; inhibition;visual shape color,Right,Inferior Temporal Gyrus,45.0,-54,-9.0,88.0,8.12,22,,,,
+++,Rodger et al,Inhibit  switch  and update - A within-subject fMRI investigation of executive control,Table 3 - Brain Regions associated with Inhibition,inhibiton task > control task,fMRI; MNI; inhibition;visual shape color,Left,Inferior Occipital Gyrus,-42.0,-69,-12.0,49.0,6.44,22,,,,
+++,Rodger et al,Inhibit  switch  and update - A within-subject fMRI investigation of executive control,Table 3 - Brain Regions associated with Inhibition,inhibiton task > control task,fMRI; MNI; inhibition;visual shape color,Right,Cuneus,9.0,-87,3.0,75.0,5.88,22,,,,
+++,Rodger et al,Inhibit  switch  and update - A within-subject fMRI investigation of executive control,Table 3 - Brain Regions associated with Inhibition,inhibiton task > control task,fMRI; MNI; inhibition;visual shape color,Right,Lingual Gyrus,21.0,-75,-6.0,34.0,6.49,22,,,,
+++,Rodger et al,Inhibit  switch  and update - A within-subject fMRI investigation of executive control,Table 4 - Brain Regions associated with Task Switching, task switching > control task,fMRI; MNI; task switching;visual shape color,Right,Middle Frontal Gyrus,36.0,51,0.0,86.0,7.22,22,,,,
+++,Rodger et al,Inhibit  switch  and update - A within-subject fMRI investigation of executive control,Table 4 - Brain Regions associated with Task Switching, task switching > control task,fMRI; MNI; task switching;visual shape color,Left,Cingulate Gyrus,-3.0,-33,45.0,5574.0,9.98,22,,,,
+++,Rodger et al,Inhibit  switch  and update - A within-subject fMRI investigation of executive control,Table 4 - Brain Regions associated with Task Switching, task switching > control task,fMRI; MNI; task switching;visual shape color,Left,Cingulate Gyrus,-3.0,-33,45.0,498.0,9.98,22,,,,
+++,Rodger et al,Inhibit  switch  and update - A within-subject fMRI investigation of executive control,Table 4 - Brain Regions associated with Task Switching, task switching > control task,fMRI; MNI; task switching;visual shape color,Right,Medial Frontal Gyrus,3.0,18,48.0,117.0,9.03,22,,,,
+++,Rodger et al,Inhibit  switch  and update - A within-subject fMRI investigation of executive control,Table 4 - Brain Regions associated with Task Switching, task switching > control task,fMRI; MNI; task switching;visual shape color,Left,Middle Frontal Gyrus,-33.0,0,45.0,57.0,9.45,22,,,,
+++,Rodger et al,Inhibit  switch  and update - A within-subject fMRI investigation of executive control,Table 4 - Brain Regions associated with Task Switching, task switching > control task,fMRI; MNI; task switching;visual shape color,Left,Middle Frontal Gyrus,-42.0,30,33.0,49.0,8.98,22,,,,
+++,Rodger et al,Inhibit  switch  and update - A within-subject fMRI investigation of executive control,Table 4 - Brain Regions associated with Task Switching, task switching > control task,fMRI; MNI; task switching;visual shape color,Left,Superior Frontal Gyrus,-30.0,0,60.0,45.0,9.73,22,,,,
+++,Rodger et al,Inhibit  switch  and update - A within-subject fMRI investigation of executive control,Table 4 - Brain Regions associated with Task Switching, task switching > control task,fMRI; MNI; task switching;visual shape color,Left,Middle Frontal Gyrus,-41.0,44,17.0,35.0,8.5,22,,,,
+++,Rodger et al,Inhibit  switch  and update - A within-subject fMRI investigation of executive control,Table 4 - Brain Regions associated with Task Switching, task switching > control task,fMRI; MNI; task switching;visual shape color,Right,Middle Frontal Gyrus,28.0,9,51.0,43.0,7.68,22,,,,
+++,Rodger et al,Inhibit  switch  and update - A within-subject fMRI investigation of executive control,Table 4 - Brain Regions associated with Task Switching, task switching > control task,fMRI; MNI; task switching;visual shape color,Left,Insula,-48.0,15,0.0,20.0,4.89,22,,,,
+++,Rodger et al,Inhibit  switch  and update - A within-subject fMRI investigation of executive control,Table 4 - Brain Regions associated with Task Switching, task switching > control task,fMRI; MNI; task switching;visual shape color,Right,Precuneus,9.0,-66,45.0,3063.0,13.66,22,,,,
+++,Rodger et al,Inhibit  switch  and update - A within-subject fMRI investigation of executive control,Table 4 - Brain Regions associated with Task Switching, task switching > control task,fMRI; MNI; task switching;visual shape color,Right,Precuneus,9.0,-66,45.0,367.0,8.47,22,,,,
+++,Rodger et al,Inhibit  switch  and update - A within-subject fMRI investigation of executive control,Table 4 - Brain Regions associated with Task Switching, task switching > control task,fMRI; MNI; task switching;visual shape color,Right,Precuneus,36.0,-69,45.0,306.0,10.98,22,,,,
+++,Rodger et al,Inhibit  switch  and update - A within-subject fMRI investigation of executive control,Table 4 - Brain Regions associated with Task Switching, task switching > control task,fMRI; MNI; task switching;visual shape color,Left,Inferior Parietal Lobule,-45.0,-42,48.0,367.0,10.57,22,,,,
+++,Rodger et al,Inhibit  switch  and update - A within-subject fMRI investigation of executive control,Table 4 - Brain Regions associated with Task Switching, task switching > control task,fMRI; MNI; task switching;visual shape color,Right,Thalamus,9.0,-12,15.0,499.0,8.47,22,,,,
+++,Rodger et al,Inhibit  switch  and update - A within-subject fMRI investigation of executive control,Table 4 - Brain Regions associated with Task Switching, task switching > control task,fMRI; MNI; task switching;visual shape color,Left,Middle Temporal Gyrus,-51.0,-39,-9.0,1834.0,10.01,22,,,,
+++,Rodger et al,Inhibit  switch  and update - A within-subject fMRI investigation of executive control,Table 4 - Brain Regions associated with Task Switching, task switching > control task,fMRI; MNI; task switching;visual shape color,Left,Middle Temporal Gyrus,-51.0,-39,-9.0,196.0,10.01,22,,,,
+++,Rodger et al,Inhibit  switch  and update - A within-subject fMRI investigation of executive control,Table 4 - Brain Regions associated with Task Switching, task switching > control task,fMRI; MNI; task switching;visual shape color,Right,Middle Temporal Gyrus,63.0,-42,-3.0,156.0,8.37,22,,,,
++,Cohen et al,Individual differences in extraversion and dopamine genetics predict neural reward responses,Table 1 Study 2 reward - no reward,reward > no reward,fMRI; MNI; extraversion;outcome phase; dopamine; money reward; decision making; performance-dependent; reward magnitude,R.,amygdala,18.0,-7,-28.0,,6.58,16,,,,
++,Cohen et al,Individual differences in extraversion and dopamine genetics predict neural reward responses,Table 1 Study 2 reward - no reward,reward > no reward,fMRI; MNI; extraversion;outcome phase; dopamine; money reward; decision making; performance-dependent; reward magnitude,L.,amygdala,-17.0,-3,-14.0,,6.47,16,,,,
++,Cohen et al,Individual differences in extraversion and dopamine genetics predict neural reward responses,Table 1 Study 2 reward - no reward,reward > no reward,fMRI; MNI; extraversion;outcome phase; dopamine; money reward; decision making; performance-dependent; reward magnitude,L.,hippocampus,-28.0,-24,-14.0,,5.4,16,,,,
++,Cohen et al,Individual differences in extraversion and dopamine genetics predict neural reward responses,Table 1 Study 2 reward - no reward,reward > no reward,fMRI; MNI; extraversion;outcome phase; dopamine; money reward; decision making; performance-dependent; reward magnitude,L.,orbitofrontal cortex,-21.0,21,-25.0,,5.31,16,11,,,
++,Cohen et al,Individual differences in extraversion and dopamine genetics predict neural reward responses,Table 1 Study 2 reward - no reward,reward > no reward,fMRI; MNI; extraversion;outcome phase; dopamine; money reward; decision making; performance-dependent; reward magnitude,R.,precuneus,4.0,-56,35.0,,5.21,16,23,,,
++,Cohen et al,Individual differences in extraversion and dopamine genetics predict neural reward responses,Table 1 Study 2 reward - no reward,reward > no reward,fMRI; MNI; extraversion;outcome phase; dopamine; money reward; decision making; performance-dependent; reward magnitude,R.,orbitofrontal cortex,25.0,25,-21.0,,5.11,16,11,,,
++,Cohen et al,Individual differences in extraversion and dopamine genetics predict neural reward responses,Table 1 Study 2 reward - no reward,reward > no reward,fMRI; MNI; extraversion;outcome phase; dopamine; money reward; decision making; performance-dependent; reward magnitude,R.,posterior insula,39.0,-21,14.0,,4.79,16,,,,
++,Cohen et al,Individual differences in extraversion and dopamine genetics predict neural reward responses,Table 1 Study 2 reward - no reward,reward > no reward,fMRI; MNI; extraversion;outcome phase; dopamine; money reward; decision making; performance-dependent; reward magnitude,R.,nucleus accumbens,11.0,0,-14.0,,4.6,16,,,,
++,Cohen et al,Individual differences in extraversion and dopamine genetics predict neural reward responses,Table 1 Study 2 reward - no reward,reward > no reward,fMRI; MNI; extraversion;outcome phase; dopamine; money reward; decision making; performance-dependent; reward magnitude,R.,nucleus accumbens,14.0,11,-14.0,,4.52,16,,,,
