importance,author,title,table_name,keywords,Left/Right,Name,Broadman Area,t,X(R),Y(A),Z(S),z-score,NV,p value,cluster size
++,Cohen et al,Individual differences in extraversion and dopamine genetics predict neural reward responses,Table 1 Study 2 reward - no reward,fMRI; MNI; extraversion; dopamine; money reward; decision making; performance-dependent; reward magnitude,R.,amygdala,,6.58,18,-7,-28,,,,
++,Cohen et al,Individual differences in extraversion and dopamine genetics predict neural reward responses,Table 1 Study 2 reward - no reward,fMRI; MNI; extraversion; dopamine; money reward; decision making; performance-dependent; reward magnitude,L.,amygdala,,6.47,-17,-3,-14,,,,
++,Cohen et al,Individual differences in extraversion and dopamine genetics predict neural reward responses,Table 1 Study 2 reward - no reward,fMRI; MNI; extraversion; dopamine; money reward; decision making; performance-dependent; reward magnitude,L.,hippocampus,,5.4,-28,-24,-14,,,,
++,Cohen et al,Individual differences in extraversion and dopamine genetics predict neural reward responses,Table 1 Study 2 reward - no reward,fMRI; MNI; extraversion; dopamine; money reward; decision making; performance-dependent; reward magnitude,L.,orbitofrontal cortex,11,5.31,-21,21,-25,,,,
++,Cohen et al,Individual differences in extraversion and dopamine genetics predict neural reward responses,Table 1 Study 2 reward - no reward,fMRI; MNI; extraversion; dopamine; money reward; decision making; performance-dependent; reward magnitude,R.,precuneus,23,5.21,4,-56,35,,,,
++,Cohen et al,Individual differences in extraversion and dopamine genetics predict neural reward responses,Table 1 Study 2 reward - no reward,fMRI; MNI; extraversion; dopamine; money reward; decision making; performance-dependent; reward magnitude,R.,orbitofrontal cortex,11,5.11,25,25,-21,,,,
++,Cohen et al,Individual differences in extraversion and dopamine genetics predict neural reward responses,Table 1 Study 2 reward - no reward,fMRI; MNI; extraversion; dopamine; money reward; decision making; performance-dependent; reward magnitude,R.,posterior insula,,4.79,39,-21,14,,,,
++,Cohen et al,Individual differences in extraversion and dopamine genetics predict neural reward responses,Table 1 Study 2 reward - no reward,fMRI; MNI; extraversion; dopamine; money reward; decision making; performance-dependent; reward magnitude,R.,nucleus accumbens,,4.6,11,0,-14,,,,
++,Cohen et al,Individual differences in extraversion and dopamine genetics predict neural reward responses,Table 1 Study 2 reward - no reward,fMRI; MNI; extraversion; dopamine; money reward; decision making; performance-dependent; reward magnitude,R.,nucleus accumbens,,4.52,14,11,-14,,,,
++,Cohen et al,Individual differences in extraversion and dopamine genetics predict neural reward responses,Table 1 Study 2 reward - no reward,fMRI; MNI; extraversion; dopamine; money reward; decision making; performance-dependent; reward magnitude,R.,postcentral gyrus,4,4.44,53,-17,46,,,,
++,Cohen et al,Individual differences in extraversion and dopamine genetics predict neural reward responses,Table 1 Study 2 reward - no reward,fMRI; MNI; extraversion; dopamine; money reward; decision making; performance-dependent; reward magnitude,L.,hippocampus,,4.23,-31,-14,-21,,,,
++,Cohen et al,Individual differences in extraversion and dopamine genetics predict neural reward responses,Table 1 Study 2 reward - no reward,fMRI; MNI; extraversion; dopamine; money reward; decision making; performance-dependent; reward magnitude,L.,nucleus accumbens,,4.3,-7,4,8,,,,
