importance,author,title,table_name,contrast,keywords,Name,Left/Right,Broadman Area,X(R),Y(A),Z(S),z-score,subjects,cluster size,p value,t,NV,index_col,MNIX,MNIY,MNIZ,TALX,TALY,TALZ,significance
++,Glascher et al,Determining a Role for Ventromedial Prefrontal Cortex in Encoding Action-Based Value Signals During Reward-Related Decision Making,Table 1-1 Coordinates and significance levels for contrasts - Conjunction of Vchosen for AR and SR (AR = action-based reversal learning; SR = stimulus-based reversal learning),ar; sr > neutral activity,fMRI; decision making; outcome phase; monetary reward; MNI; reinforcement learning; reversal learning; fractal image,mofc,l,11,-6,24,-21,4.06,20,,,,,0,-6.0,24.0,-21.0,-6.436,22.72,-13.44,2.4536357966409746e-05
++,Glascher et al,Determining a Role for Ventromedial Prefrontal Cortex in Encoding Action-Based Value Signals During Reward-Related Decision Making,Table 1-1 Coordinates and significance levels for contrasts - Conjunction of Vchosen for AR and SR (AR = action-based reversal learning; SR = stimulus-based reversal learning),ar; sr > neutral activity,fMRI; decision making; outcome phase; monetary reward; MNI; reinforcement learning; reversal learning; fractal image,vmpfc,r,11,6,30,-9,3.89,20,,,,,1,6.0,30.0,-9.0,4.724,27.408,-2.105,5.012211099618835e-05
++,Glascher et al,Determining a Role for Ventromedial Prefrontal Cortex in Encoding Action-Based Value Signals During Reward-Related Decision Making,Table 1-1 Coordinates and significance levels for contrasts - Conjunction of Vchosen for AR and SR (AR = action-based reversal learning; SR = stimulus-based reversal learning),ar; sr > neutral activity,fMRI; decision making; outcome phase; monetary reward; MNI; reinforcement learning; reversal learning; fractal image,vmpfc,r,11,9,27,-12,3.3,20,,,,,2,9.0,27.0,-12.0,7.544,24.788,-4.99,0.00048342414238377744
++,Glascher et al,Determining a Role for Ventromedial Prefrontal Cortex in Encoding Action-Based Value Signals During Reward-Related Decision Making,Table 1-1 Coordinates and significance levels for contrasts - Conjunction of Vchosen for AR and SR (AR = action-based reversal learning; SR = stimulus-based reversal learning),ar; sr > neutral activity,fMRI; decision making; outcome phase; monetary reward; MNI; reinforcement learning; reversal learning; fractal image,vmpfc,r,10,3,54,-3,3.67,20,,,,,3,3.0,54.0,-3.0,1.943,49.543,5.049,0.00012127523428535768
++,Glascher et al,Determining a Role for Ventromedial Prefrontal Cortex in Encoding Action-Based Value Signals During Reward-Related Decision Making,Table 1-1 Coordinates and significance levels for contrasts - Conjunction of Vchosen for AR and SR (AR = action-based reversal learning; SR = stimulus-based reversal learning),ar; sr > neutral activity,fMRI; decision making; outcome phase; monetary reward; MNI; reinforcement learning; reversal learning; fractal image,amyg-hippo junction,l,20,-27,-18,-18,4.21,20,,,,,4,-27.0,-18.0,-18.0,-26.229,-16.824,-14.125,1.2768534413734933e-05
++,Glascher et al,Determining a Role for Ventromedial Prefrontal Cortex in Encoding Action-Based Value Signals During Reward-Related Decision Making,Table 1-1 Coordinates and significance levels for contrasts - Conjunction of Vchosen for AR and SR (AR = action-based reversal learning; SR = stimulus-based reversal learning),ar; sr > neutral activity,fMRI; decision making; outcome phase; monetary reward; MNI; reinforcement learning; reversal learning; fractal image,amyg-hippo junction,r,20,24,-9,-18,4.66,20,,,,,5,24.0,-9.0,-18.0,21.518,-8.7,-12.923,1.5810469189705068e-06
++,Glascher et al,Determining a Role for Ventromedial Prefrontal Cortex in Encoding Action-Based Value Signals During Reward-Related Decision Making,Table 1-1 Coordinates and significance levels for contrasts - Conjunction of Vchosen for AR and SR (AR = action-based reversal learning; SR = stimulus-based reversal learning),ar; sr > neutral activity,fMRI; decision making; outcome phase; monetary reward; MNI; reinforcement learning; reversal learning; fractal image,post. cing. cortex,r,,9,-30,51,4.52,20,,,,,6,9.0,-30.0,51.0,6.925,-33.343,47.216,3.0919815689561793e-06
++,Glascher et al,Determining a Role for Ventromedial Prefrontal Cortex in Encoding Action-Based Value Signals During Reward-Related Decision Making,Table 1-1 Coordinates and significance levels for contrasts - Conjunction of Vchosen for AR and SR (AR = action-based reversal learning; SR = stimulus-based reversal learning),ar; sr > neutral activity,fMRI; decision making; outcome phase; monetary reward; MNI; reinforcement learning; reversal learning; fractal image,sma,l,6,-3,-9,51,4.24,20,,,,,7,-3.0,-9.0,51.0,-4.243,-13.534,48.672,1.1175989332120529e-05
++,Glascher et al,Determining a Role for Ventromedial Prefrontal Cortex in Encoding Action-Based Value Signals During Reward-Related Decision Making,Table 1-1 Coordinates and significance levels for contrasts - Conjunction of Vchosen for AR and SR (AR = action-based reversal learning; SR = stimulus-based reversal learning),ar; sr > neutral activity,fMRI; decision making; outcome phase; monetary reward; MNI; reinforcement learning; reversal learning; fractal image,sma,r,6,3,-6,51,4.19,20,,,,,8,3.0,-6.0,51.0,1.38,-10.754,48.959,1.3947722726881202e-05
++,Glascher et al,Determining a Role for Ventromedial Prefrontal Cortex in Encoding Action-Based Value Signals During Reward-Related Decision Making,Table 1-1 Coordinates and significance levels for contrasts - Conjunction of Vchosen for AR and SR (AR = action-based reversal learning; SR = stimulus-based reversal learning),ar; sr > neutral activity,fMRI; decision making; outcome phase; monetary reward; MNI; reinforcement learning; reversal learning; fractal image,mid. occip. gyrus,l,39,-36,-60,24,5.43,20,,,,,9,-36.0,-60.0,24.0,-35.074,-59.278,20.286,2.817702597603988e-08
++,Glascher et al,Determining a Role for Ventromedial Prefrontal Cortex in Encoding Action-Based Value Signals During Reward-Related Decision Making,Table 1-1 Coordinates and significance levels for contrasts - Conjunction of Vchosen for AR and SR (AR = action-based reversal learning; SR = stimulus-based reversal learning),ar; sr > neutral activity,fMRI; decision making; outcome phase; monetary reward; MNI; reinforcement learning; reversal learning; fractal image,cerebellum,l,19,-21,-63,-18,4.05,20,,,,,10,-21.0,-63.0,-18.0,-20.745,-59.146,-17.447,2.560881647404149e-05
++,Glascher et al,Determining a Role for Ventromedial Prefrontal Cortex in Encoding Action-Based Value Signals During Reward-Related Decision Making,Table 1-1 Coordinates and significance levels for contrasts - Conjunction of Vchosen for AR and SR (AR = action-based reversal learning; SR = stimulus-based reversal learning),ar; sr > neutral activity,fMRI; decision making; outcome phase; monetary reward; MNI; reinforcement learning; reversal learning; fractal image,cerebellum,r,19,21,-66,-18,4.47,20,,,,,11,21.0,-66.0,-18.0,18.546,-62.237,-17.24,3.910979860280697e-06
++,Glascher et al,Determining a Role for Ventromedial Prefrontal Cortex in Encoding Action-Based Value Signals During Reward-Related Decision Making,Table 1-1 Coordinates and significance levels for contrasts - Conjunction of Vchosen for AR and SR (AR = action-based reversal learning; SR = stimulus-based reversal learning),ar; sr > neutral activity,fMRI; decision making; outcome phase; monetary reward; MNI; reinforcement learning; reversal learning; fractal image,sens.-mot. cortex,l,4,-51,-18,54,4.58,20,,,,,12,-51.0,-18.0,54.0,-49.204,-21.896,50.19,2.324879649934408e-06
++,Glascher et al,Determining a Role for Ventromedial Prefrontal Cortex in Encoding Action-Based Value Signals During Reward-Related Decision Making,Table 1-1 Coordinates and significance levels for contrasts - Conjunction of Vchosen for AR and SR (AR = action-based reversal learning; SR = stimulus-based reversal learning),ar; sr > neutral activity,fMRI; decision making; outcome phase; monetary reward; MNI; reinforcement learning; reversal learning; fractal image,sens.-mot. cortex,r,4,51,-15,54,4.89,20,,,,,13,51.0,-15.0,54.0,46.246,-19.74,51.467,5.041798883575354e-07
++,Glascher et al,Determining a Role for Ventromedial Prefrontal Cortex in Encoding Action-Based Value Signals During Reward-Related Decision Making,Table 1-1 Coordinates and significance levels for contrasts - Conjunction of Vchosen for AR and SR (AR = action-based reversal learning; SR = stimulus-based reversal learning),ar; sr > neutral activity,fMRI; decision making; outcome phase; monetary reward; MNI; reinforcement learning; reversal learning; fractal image,mid. temp. sulcus,l,21,-57,-3,-15,4.35,20,,,,,14,-57.0,-3.0,-15.0,-54.278,-2.753,-10.616,6.806876599334043e-06
++,Glascher et al,Determining a Role for Ventromedial Prefrontal Cortex in Encoding Action-Based Value Signals During Reward-Related Decision Making,Table 1-1 Coordinates and significance levels for contrasts - Conjunction of Vchosen for AR and SR (AR = action-based reversal learning; SR = stimulus-based reversal learning),ar; sr > neutral activity,fMRI; decision making; outcome phase; monetary reward; MNI; reinforcement learning; reversal learning; fractal image,mid. temp. sulcus,r,21,63,-15,3,4.23,20,,,,,15,63.0,-15.0,3.0,57.842,-16.115,5.858,1.1684565594707383e-05
++,Glascher et al,Determining a Role for Ventromedial Prefrontal Cortex in Encoding Action-Based Value Signals During Reward-Related Decision Making,Table 1-2 Coordinates and significance levels for contrasts - Conjunction of AR Switch > Stay and SR Switch > Stay  (AR = action-based reversal learning; SR = stimulus-based reversal learning),ar switch > stay and sr switch > stay,fMRI; decision making; outcome phase; monetary reward; MNI; reinforcement learning; reversal learning; task switching,ant. insula,r,47,27,27,-3,4.11,20,,,,,16,27.0,27.0,-3.0,24.322,24.018,3.266,1.9782955868224025e-05
++,Glascher et al,Determining a Role for Ventromedial Prefrontal Cortex in Encoding Action-Based Value Signals During Reward-Related Decision Making,Table 1-2 Coordinates and significance levels for contrasts - Conjunction of AR Switch > Stay and SR Switch > Stay  (AR = action-based reversal learning; SR = stimulus-based reversal learning),ar switch > stay and sr switch > stay,fMRI; decision making; outcome phase; monetary reward; MNI; reinforcement learning; reversal learning; task switching,lat. ofc,r,11,24,48,-6,3.63,20,,,,,17,24.0,48.0,-6.0,21.597,43.986,2.124,0.00014171060987581906
++,Glascher et al,Determining a Role for Ventromedial Prefrontal Cortex in Encoding Action-Based Value Signals During Reward-Related Decision Making,Table 1-2 Coordinates and significance levels for contrasts - Conjunction of AR Switch > Stay and SR Switch > Stay  (AR = action-based reversal learning; SR = stimulus-based reversal learning),ar switch > stay and sr switch > stay,fMRI; decision making; outcome phase; monetary reward; MNI; reinforcement learning; reversal learning; task switching,dlpfc,l,46,-33,48,21,3.38,20,,,,,18,-33.0,48.0,21.0,-31.932,42.397,25.748,0.00036242914903304377
++,Glascher et al,Determining a Role for Ventromedial Prefrontal Cortex in Encoding Action-Based Value Signals During Reward-Related Decision Making,Table 1-2 Coordinates and significance levels for contrasts - Conjunction of AR Switch > Stay and SR Switch > Stay  (AR = action-based reversal learning; SR = stimulus-based reversal learning),ar switch > stay and sr switch > stay,fMRI; decision making; outcome phase; monetary reward; MNI; reinforcement learning; reversal learning; task switching,dlpfc,r,46,36,45,30,4.22,20,,,,,19,36.0,45.0,30.0,32.557,38.476,34.303,1.2215115925253025e-05
++,Jarcho et al,Developmental effects of decision-making on sensitivity to reward - An fMRI study,Table 2-1 Anticipation for Adolescents during Choice trials compared with Baseline,small incentives > baseline,fMRI; anticipation phase; decision making;MNI; monetary reward; small incentive;young;visual cue,postcentral gyrus,,3,-43,-24,58,,26,1286.0,0.005,,,20,-43.0,-24.0,58.0,-41.765,-27.876,53.408,0.005
++,Jarcho et al,Developmental effects of decision-making on sensitivity to reward - An fMRI study,Table 2-1 Anticipation for Adolescents during Choice trials compared with Baseline,small incentives > baseline,fMRI; anticipation phase; decision making;MNI; monetary reward; small incentive;young;visual cue,cingulate gyrus,,32,-3,26,42,,26,849.0,0.005,,,21,-3.0,26.0,42.0,-4.076,20.006,43.233,0.005
++,Jarcho et al,Developmental effects of decision-making on sensitivity to reward - An fMRI study,Table 2-1 Anticipation for Adolescents during Choice trials compared with Baseline,small incentives > baseline,fMRI; anticipation phase; decision making;MNI; monetary reward; small incentive;young;visual cue,precuneus,,7,10,-72,42,,26,288.0,0.005,,,22,10.0,-72.0,42.0,7.803,-72.159,35.998,0.005
++,Jarcho et al,Developmental effects of decision-making on sensitivity to reward - An fMRI study,Table 2-1 Anticipation for Adolescents during Choice trials compared with Baseline,small incentives > baseline,fMRI; anticipation phase; decision making;MNI; monetary reward; small incentive;young;visual cue,fusiform gyrus,,37,37,-59,-14,,26,278.0,0.005,,,23,37.0,-59.0,-14.0,33.508,-56.054,-12.962,0.005
++,Jarcho et al,Developmental effects of decision-making on sensitivity to reward - An fMRI study,Table 2-1 Anticipation for Adolescents during Choice trials compared with Baseline,small incentives > baseline,fMRI; anticipation phase; decision making;MNI; monetary reward; small incentive;young;visual cue,insula,,,42,21,5,,26,240.0,0.005,,,24,42.0,21.0,5.0,38.282,17.702,10.143,0.005
++,Jarcho et al,Developmental effects of decision-making on sensitivity to reward - An fMRI study,Table 2-1 Anticipation for Adolescents during Choice trials compared with Baseline,small incentives > baseline,fMRI; anticipation phase; decision making;MNI; monetary reward; small incentive;young;visual cue,cerebellum,,,-35,-56,-23,,26,239.0,0.005,,,25,-35.0,-56.0,-23.0,-33.789,-52.114,-21.548,0.005
++,Jarcho et al,Developmental effects of decision-making on sensitivity to reward - An fMRI study,Table 2-1 Anticipation for Adolescents during Choice trials compared with Baseline,small incentives > baseline,fMRI; anticipation phase; decision making;MNI; monetary reward; small incentive;young;visual cue,cingulate gyrus,,23,5,-24,30,,26,94.0,0.005,,,26,5.0,-24.0,30.0,3.351,-26.155,28.795,0.005
++,Jarcho et al,Developmental effects of decision-making on sensitivity to reward - An fMRI study,Table 2-1 Anticipation for Adolescents during Choice trials compared with Baseline,small incentives > baseline,fMRI; anticipation phase; decision making;MNI; monetary reward; small incentive;young;visual cue,thalamus,,,-11,-19,14,,26,28.0,0.005,,,27,-11.0,-19.0,14.0,-11.491,-20.191,14.659,0.005
++,Jarcho et al,Developmental effects of decision-making on sensitivity to reward - An fMRI study,Table 2-1 Anticipation for Adolescents during Choice trials compared with Baseline,small incentives > baseline,fMRI; anticipation phase; decision making;MNI; monetary reward; small incentive;young;visual cue,thalamus,,,13,-15,14,,26,13.0,0.005,,,28,13.0,-15.0,14.0,10.978,-16.589,15.207,0.005
++,Jarcho et al,Developmental effects of decision-making on sensitivity to reward - An fMRI study,Table 2-2 Anticipation for Adolescents during Choice trials compared with Baseline,large incentives > baseline,fMRI; anticipation phase; decision making;MNI; monetary reward; high incentive; young; visual cue,cerebellum,,,37,-67,-18,,26,1789.0,0.005,,,29,37.0,-67.0,-18.0,33.514,-63.281,-17.15,0.005
++,Jarcho et al,Developmental effects of decision-making on sensitivity to reward - An fMRI study,Table 2-2 Anticipation for Adolescents during Choice trials compared with Baseline,large incentives > baseline,fMRI; anticipation phase; decision making;MNI; monetary reward; high incentive; young; visual cue,medial frontal gyrus,,6,-3,5,53,,26,362.0,0.005,,,30,-3.0,5.0,53.0,-4.216,-0.524,51.518,0.005
++,Jarcho et al,Developmental effects of decision-making on sensitivity to reward - An fMRI study,Table 2-2 Anticipation for Adolescents during Choice trials compared with Baseline,large incentives > baseline,fMRI; anticipation phase; decision making;MNI; monetary reward; high incentive; young; visual cue,inferior parietal lobule,,40,33,-59,46,,26,199.0,0.005,,,31,33.0,-59.0,46.0,29.334,-60.384,40.799,0.005
++,Jarcho et al,Developmental effects of decision-making on sensitivity to reward - An fMRI study,Table 2-2 Anticipation for Adolescents during Choice trials compared with Baseline,large incentives > baseline,fMRI; anticipation phase; decision making;MNI; monetary reward; high incentive; young; visual cue,posterior cingulate,,,-3,-31,30,,26,194.0,0.005,,,32,-3.0,-31.0,30.0,-4.155,-32.68,28.186,0.005
++,Jarcho et al,Developmental effects of decision-making on sensitivity to reward - An fMRI study,Table 2-2 Anticipation for Adolescents during Choice trials compared with Baseline,large incentives > baseline,fMRI; anticipation phase; decision making;MNI; monetary reward; high incentive; young; visual cue,middle frontal gyrus,,9,-51,26,37,,26,128.0,0.005,,,33,-51.0,26.0,37.0,-48.954,20.681,38.255,0.005
++,Jarcho et al,Developmental effects of decision-making on sensitivity to reward - An fMRI study,Table 2-2 Anticipation for Adolescents during Choice trials compared with Baseline,large incentives > baseline,fMRI; anticipation phase; decision making;MNI; monetary reward; high incentive; young; visual cue,insula,,,-35,17,5,,26,123.0,0.005,,,34,-35.0,17.0,5.0,-33.778,14.444,9.049,0.005
++,Jarcho et al,Developmental effects of decision-making on sensitivity to reward - An fMRI study,Table 2-2 Anticipation for Adolescents during Choice trials compared with Baseline,large incentives > baseline,fMRI; anticipation phase; decision making;MNI; monetary reward; high incentive; young; visual cue,middle frontal gyrus,,9,49,33,37,,26,80.0,0.005,,,35,49.0,33.0,37.0,44.636,26.608,39.812,0.005
++,Jarcho et al,Developmental effects of decision-making on sensitivity to reward - An fMRI study,Table 2-2 Anticipation for Adolescents during Choice trials compared with Baseline,large incentives > baseline,fMRI; anticipation phase; decision making;MNI; monetary reward; high incentive; young; visual cue,insula,,,45,17,5,,26,53.0,0.005,,,36,45.0,17.0,5.0,41.077,13.924,9.873,0.005
++,Jarcho et al,Developmental effects of decision-making on sensitivity to reward - An fMRI study,Table 2-2 Anticipation for Adolescents during Choice trials compared with Baseline,large incentives > baseline,fMRI; anticipation phase; decision making;MNI; monetary reward; high incentive; young; visual cue,putamen,,,-19,11,4,,26,16.0,0.005,,,37,-19.0,11.0,4.0,-18.818,8.775,7.866,0.005
++,Jarcho et al,Developmental effects of decision-making on sensitivity to reward - An fMRI study,Table 4-1 Anticipation for Adults during Choice trials compared with Baseline,small incentives > baseline,fMRI; anticipation phase; decision making;MNI; monetary reward; small incentive; adult; visual cue,inferior parietal lobule,,40,-51,-31,50,,26,7434.0,0.005,,,38,-51.0,-31.0,50.0,-49.213,-33.82,45.626,0.005
++,Jarcho et al,Developmental effects of decision-making on sensitivity to reward - An fMRI study,Table 4-2 Anticipation for Adults during Choice trials compared with Baseline,large incentives > baseline,fMRI; anticipation phase; decision making;MNI; monetary reward; high incentive; adult; visual cue,fusiform gyrus,,37,33,-47,-14,,26,7804.0,0.005,,,39,33.0,-47.0,-14.0,29.8,-44.753,-12.101,0.005
++,Jarcho et al,Developmental effects of decision-making on sensitivity to reward - An fMRI study,Table 4-2 Anticipation for Adults during Choice trials compared with Baseline,large incentives > baseline,fMRI; anticipation phase; decision making;MNI; monetary reward; high incentive; adult; visual cue,cerebellum,,,17,-59,-50,,26,28.0,0.005,,,40,17.0,-59.0,-50.0,15.054,-53.311,-45.449,0.005
++,Jarcho et al,Developmental effects of decision-making on sensitivity to reward - An fMRI study,Table 4-2 Anticipation for Adults during Choice trials compared with Baseline,large incentives > baseline,fMRI; anticipation phase; decision making;MNI; monetary reward; high incentive; adult; visual cue,cerebellum,,,-19,-47,-39,,26,13.0,0.005,,,41,-19.0,-47.0,-39.0,-18.676,-42.6,-35.054,0.005
