importance,author,title,table_name,contrast,keywords,Name,Left/Right,Broadman Area,X(R),Y(A),Z(S),z-score,subjects,cluster size,p value,t,NV
++,Glascher et al,Determining a Role for Ventromedial Prefrontal Cortex in Encoding Action-Based Value Signals During Reward-Related Decision Making,Table 1-1 Coordinates and significance levels for contrasts - Conjunction of Vchosen for AR and SR (AR = action-based reversal learning; SR = stimulus-based reversal learning), AR; SR > neutral activity,fMRI; decision making; outcome phase; monetary reward; MNI; reinforcement learning; reversal learning; fractal image,mOFC,L,11,-6,24,-21,4.06,20,,,,
++,Glascher et al,Determining a Role for Ventromedial Prefrontal Cortex in Encoding Action-Based Value Signals During Reward-Related Decision Making,Table 1-1 Coordinates and significance levels for contrasts - Conjunction of Vchosen for AR and SR (AR = action-based reversal learning; SR = stimulus-based reversal learning), AR; SR > neutral activity,fMRI; decision making; outcome phase; monetary reward; MNI; reinforcement learning; reversal learning; fractal image,vmPFC,R,11,6,30,-9,3.89,20,,,,
++,Glascher et al,Determining a Role for Ventromedial Prefrontal Cortex in Encoding Action-Based Value Signals During Reward-Related Decision Making,Table 1-1 Coordinates and significance levels for contrasts - Conjunction of Vchosen for AR and SR (AR = action-based reversal learning; SR = stimulus-based reversal learning), AR; SR > neutral activity,fMRI; decision making; outcome phase; monetary reward; MNI; reinforcement learning; reversal learning; fractal image,vmPFC,R,11,9,27,-12,3.3,20,,,,
++,Glascher et al,Determining a Role for Ventromedial Prefrontal Cortex in Encoding Action-Based Value Signals During Reward-Related Decision Making,Table 1-1 Coordinates and significance levels for contrasts - Conjunction of Vchosen for AR and SR (AR = action-based reversal learning; SR = stimulus-based reversal learning), AR; SR > neutral activity,fMRI; decision making; outcome phase; monetary reward; MNI; reinforcement learning; reversal learning; fractal image,vmPFC,R,10,3,54,-3,3.67,20,,,,
++,Glascher et al,Determining a Role for Ventromedial Prefrontal Cortex in Encoding Action-Based Value Signals During Reward-Related Decision Making,Table 1-1 Coordinates and significance levels for contrasts - Conjunction of Vchosen for AR and SR (AR = action-based reversal learning; SR = stimulus-based reversal learning), AR; SR > neutral activity,fMRI; decision making; outcome phase; monetary reward; MNI; reinforcement learning; reversal learning; fractal image,Amyg-hippo Junction,L,20,-27,-18,-18,4.21,20,,,,
++,Glascher et al,Determining a Role for Ventromedial Prefrontal Cortex in Encoding Action-Based Value Signals During Reward-Related Decision Making,Table 1-1 Coordinates and significance levels for contrasts - Conjunction of Vchosen for AR and SR (AR = action-based reversal learning; SR = stimulus-based reversal learning), AR; SR > neutral activity,fMRI; decision making; outcome phase; monetary reward; MNI; reinforcement learning; reversal learning; fractal image,Amyg-hippo Junction,R,20,24,-9,-18,4.66,20,,,,
++,Glascher et al,Determining a Role for Ventromedial Prefrontal Cortex in Encoding Action-Based Value Signals During Reward-Related Decision Making,Table 1-1 Coordinates and significance levels for contrasts - Conjunction of Vchosen for AR and SR (AR = action-based reversal learning; SR = stimulus-based reversal learning), AR; SR > neutral activity,fMRI; decision making; outcome phase; monetary reward; MNI; reinforcement learning; reversal learning; fractal image,Post. cing. cortex,R,,9,-30,51,4.52,20,,,,
++,Glascher et al,Determining a Role for Ventromedial Prefrontal Cortex in Encoding Action-Based Value Signals During Reward-Related Decision Making,Table 1-1 Coordinates and significance levels for contrasts - Conjunction of Vchosen for AR and SR (AR = action-based reversal learning; SR = stimulus-based reversal learning), AR; SR > neutral activity,fMRI; decision making; outcome phase; monetary reward; MNI; reinforcement learning; reversal learning; fractal image,SMA,L,6,-3,-9,51,4.24,20,,,,
++,Glascher et al,Determining a Role for Ventromedial Prefrontal Cortex in Encoding Action-Based Value Signals During Reward-Related Decision Making,Table 1-1 Coordinates and significance levels for contrasts - Conjunction of Vchosen for AR and SR (AR = action-based reversal learning; SR = stimulus-based reversal learning), AR; SR > neutral activity,fMRI; decision making; outcome phase; monetary reward; MNI; reinforcement learning; reversal learning; fractal image,SMA,R,6,3,-6,51,4.19,20,,,,
++,Glascher et al,Determining a Role for Ventromedial Prefrontal Cortex in Encoding Action-Based Value Signals During Reward-Related Decision Making,Table 1-1 Coordinates and significance levels for contrasts - Conjunction of Vchosen for AR and SR (AR = action-based reversal learning; SR = stimulus-based reversal learning), AR; SR > neutral activity,fMRI; decision making; outcome phase; monetary reward; MNI; reinforcement learning; reversal learning; fractal image,Mid. occip. gyrus,L,39,-36,-60,24,5.43,20,,,,
