MNIX,MNIY,MNIZ,BA,TALX,TALY,TALZ
-73,-107,-53,Outside defined BAs,-71,-108,-42
-73,-107,-47,Outside defined BAs,-71,-107,-36
-73,-107,-41,Outside defined BAs,-71,-107,-31
-73,-107,-35,Outside defined BAs,-71,-106,-26
-73,-107,-29,Outside defined BAs,-71,-106,-20
-73,-107,-23,Outside defined BAs,-71,-105,-15
-73,-107,-17,Outside defined BAs,-71,-105,-9
-73,-107,-11,Outside defined BAs,-71,-104,-4
-73,-107,-5,Outside defined BAs,-71,-104,0
-73,-107,1,Outside defined BAs,-71,-104,6
-73,-107,7,Outside defined BAs,-71,-103,11
-73,-107,13,Outside defined BAs,-71,-103,16
-73,-107,19,Outside defined BAs,-71,-102,21
-73,-107,25,Outside defined BAs,-71,-102,26
-73,-107,31,Outside defined BAs,-71,-101,31
-73,-107,37,Outside defined BAs,-71,-101,36
-73,-107,43,Outside defined BAs,-71,-100,41
-73,-107,49,Outside defined BAs,-71,-100,47
-73,-107,55,Outside defined BAs,-71,-100,52
-73,-107,61,Outside defined BAs,-71,-99,57
-73,-107,67,Outside defined BAs,-71,-99,62
-73,-101,-53,Outside defined BAs,-71,-102,-42
-73,-101,-47,Outside defined BAs,-71,-101,-37
-73,-101,-41,Outside defined BAs,-71,-101,-31
-73,-101,-35,Outside defined BAs,-71,-101,-26
-73,-101,-29,Outside defined BAs,-71,-100,-20
-73,-101,-23,Outside defined BAs,-71,-100,-15
-73,-101,-17,Outside defined BAs,-71,-99,-9
-73,-101,-11,Outside defined BAs,-71,-99,-4
-73,-101,-5,Outside defined BAs,-71,-98,0
-73,-101,1,Outside defined BAs,-71,-98,5
-73,-101,7,Outside defined BAs,-71,-98,11
-73,-101,13,Outside defined BAs,-71,-97,16
-73,-101,19,Outside defined BAs,-71,-97,21
-73,-101,25,Outside defined BAs,-71,-96,26
-73,-101,31,Outside defined BAs,-71,-96,31
-73,-101,37,Outside defined BAs,-71,-95,36
-73,-101,43,Outside defined BAs,-71,-95,41
-73,-101,49,Outside defined BAs,-71,-94,46
-73,-101,55,Outside defined BAs,-71,-94,52
-73,-101,61,Outside defined BAs,-71,-93,57
-73,-101,67,Outside defined BAs,-71,-93,62
-73,-95,-53,Outside defined BAs,-71,-96,-42
-73,-95,-47,Outside defined BAs,-72,-96,-37
-73,-95,-41,Outside defined BAs,-72,-96,-31
-73,-95,-35,Outside defined BAs,-72,-95,-26
-73,-95,-29,Outside defined BAs,-72,-95,-20
-73,-95,-23,Outside defined BAs,-72,-94,-15
-73,-95,-17,Outside defined BAs,-72,-94,-10
-73,-95,-11,Outside defined BAs,-72,-93,-4
-73,-95,-5,Outside defined BAs,-72,-93,0
-73,-95,1,Outside defined BAs,-72,-92,5
-73,-95,7,Outside defined BAs,-72,-92,11
-73,-95,13,Outside defined BAs,-71,-92,16
-73,-95,19,Outside defined BAs,-71,-91,21
-73,-95,25,Outside defined BAs,-71,-91,26
-73,-95,31,Outside defined BAs,-71,-90,31
-73,-95,37,Outside defined BAs,-71,-90,36
-73,-95,43,Outside defined BAs,-71,-89,41
-73,-95,49,Outside defined BAs,-71,-89,46
-73,-95,55,Outside defined BAs,-71,-88,51
-73,-95,61,Outside defined BAs,-71,-88,56
-73,-95,67,Outside defined BAs,-71,-87,62
-73,-89,-53,Outside defined BAs,-72,-91,-42
-73,-89,-47,Outside defined BAs,-72,-90,-37
-73,-89,-41,Outside defined BAs,-72,-90,-31
-73,-89,-35,Outside defined BAs,-72,-90,-26
-73,-89,-29,Outside defined BAs,-72,-89,-21
-73,-89,-23,Outside defined BAs,-72,-89,-15
-73,-89,-17,Outside defined BAs,-72,-88,-10
-73,-89,-11,Outside defined BAs,-72,-88,-4
-73,-89,-5,Outside defined BAs,-72,-87,0
-73,-89,1,Outside defined BAs,-72,-87,5
-73,-89,7,Outside defined BAs,-72,-86,10
-73,-89,13,Outside defined BAs,-72,-86,16
-73,-89,19,Outside defined BAs,-72,-86,21
-73,-89,25,Outside defined BAs,-72,-85,26
-73,-89,31,Outside defined BAs,-72,-85,31
-73,-89,37,Outside defined BAs,-72,-84,36
-73,-89,43,Outside defined BAs,-71,-84,41
-73,-89,49,Outside defined BAs,-71,-83,46
-73,-89,55,Outside defined BAs,-71,-83,51
-73,-89,61,Outside defined BAs,-71,-82,56
-73,-89,67,Outside defined BAs,-71,-82,61
-73,-83,-53,Outside defined BAs,-72,-85,-42
-73,-83,-47,Outside defined BAs,-72,-85,-37
-73,-83,-41,Outside defined BAs,-72,-84,-32
-73,-83,-35,Outside defined BAs,-72,-84,-26
-73,-83,-29,Outside defined BAs,-72,-84,-21
-73,-83,-23,Outside defined BAs,-72,-83,-15
-73,-83,-17,Outside defined BAs,-72,-83,-10
-73,-83,-11,Outside defined BAs,-72,-82,-4
-73,-83,-5,Outside defined BAs,-72,-82,0
-73,-83,1,Outside defined BAs,-72,-81,5
-73,-83,7,Outside defined BAs,-72,-81,10
-73,-83,13,Outside defined BAs,-72,-81,16
-73,-83,19,Outside defined BAs,-72,-80,21
-73,-83,25,Outside defined BAs,-72,-80,26
-73,-83,31,Outside defined BAs,-72,-79,31
-73,-83,37,Outside defined BAs,-72,-79,36
-73,-83,43,Outside defined BAs,-72,-78,41
-73,-83,49,Outside defined BAs,-71,-78,46
-73,-83,55,Outside defined BAs,-71,-77,51
-73,-83,61,Outside defined BAs,-71,-77,56
-73,-83,67,Outside defined BAs,-71,-76,61
-73,-77,-53,Outside defined BAs,-72,-80,-43
-73,-77,-47,Outside defined BAs,-72,-79,-37
-73,-77,-41,Outside defined BAs,-72,-79,-32
-73,-77,-35,Outside defined BAs,-72,-78,-26
-73,-77,-29,Outside defined BAs,-72,-78,-21
-73,-77,-23,Outside defined BAs,-72,-77,-15
-73,-77,-17,Outside defined BAs,-71,-77,-10
-73,-77,-11,Outside defined BAs,-71,-77,-4
-73,-77,-5,Outside defined BAs,-71,-76,0
-73,-77,1,Outside defined BAs,-72,-76,5
-73,-77,7,Outside defined BAs,-72,-75,10
-73,-77,13,Outside defined BAs,-72,-75,16
-73,-77,19,Outside defined BAs,-72,-75,21
-73,-77,25,Outside defined BAs,-72,-74,26
-73,-77,31,Outside defined BAs,-72,-74,31
-73,-77,37,Outside defined BAs,-72,-73,36
-73,-77,43,Outside defined BAs,-72,-73,41
-73,-77,49,Outside defined BAs,-72,-72,46
-73,-77,55,Outside defined BAs,-72,-71,51
-73,-77,61,Outside defined BAs,-71,-71,56
-73,-77,67,Outside defined BAs,-71,-71,61
-73,-71,-53,Outside defined BAs,-72,-74,-43
-73,-71,-47,Outside defined BAs,-72,-74,-37
-73,-71,-41,Outside defined BAs,-72,-73,-32
-73,-71,-35,Outside defined BAs,-72,-73,-26
-73,-71,-29,Outside defined BAs,-71,-72,-21
-73,-71,-23,Outside defined BAs,-71,-72,-15
-73,-71,-17,Outside defined BAs,-71,-71,-10
-73,-71,-11,Outside defined BAs,-71,-71,-4
-73,-71,-5,Outside defined BAs,-71,-70,0
-73,-71,1,Outside defined BAs,-71,-70,5
-73,-71,7,Outside defined BAs,-71,-70,10
-73,-71,13,Outside defined BAs,-72,-69,16
-73,-71,19,Outside defined BAs,-72,-69,21
-73,-71,25,Outside defined BAs,-72,-68,26
-73,-71,31,Outside defined BAs,-72,-68,31
-73,-71,37,Outside defined BAs,-72,-67,36
-73,-71,43,Outside defined BAs,-72,-67,41
-73,-71,49,Outside defined BAs,-72,-66,46
-73,-71,55,Outside defined BAs,-72,-66,51
-73,-71,61,Outside defined BAs,-72,-65,56
