Cluster Index	Voxels	MAX	MAX X (vox)	MAX Y (vox)	MAX Z (vox)	COG X (vox)	COG Y (vox)	COG Z (vox)
13	560	2.33	40	73	54	44.2	72.6	59
12	430	2.33	62	32	54	63.8	36.6	59.1
11	318	2.33	60	63	58	58.9	64.1	62.6
10	272	2.33	61	73	30	60.6	74.3	35.3
9	233	2.33	27	63	61	29.4	65.6	63.2
8	206	2.33	64	88	32	63.3	88.8	38.8
7	173	2.33	68	65	47	67.2	66	50.1
6	153	2.33	23	38	56	23	39.4	58
5	128	2.33	28	73	31	28.7	74.4	35.2
4	100	1.88	55	28	56	56.2	29.8	58.4
3	96	1.88	25	87	41	25.3	84.9	46.1
2	74	1.23	33	28	60	34.6	29	62.6
1	57	0.332	64	73	48	65.7	74.7	49.8
