Cluster ID,1
Center of Mass,"(28, -3, -23)"
Cohen et al-Individual differences in extr..,1
Elliott et al-Differential Response Patterns..,1
Elliott et al-Instrumental responding for re..,2
John O Doherty et al-Neural Responses during Antici..,0
Knutson et al-A region of mesial prefrontal ..,0
Knutson et al-Dissociation of reward anticip..,0
Koeneke et al-Individual preferences modulat..,0
Schienle et al-Binge-Eating Disorder  Reward ..,1
Sescousse et al-The Architecture of Reward Val..,0
Smith et al-Distinct Value Signals in Ante..,0
