Cluster ID,1,2,3,4
Center of Mass,"(32, 25, -2)","(15, 11, -3)","(-1, 49, -7)","(-14, 9, -5)"
Abler et al-From uncertainty to reward - B..,1,1,1,3
Akitsuki et al-Context-dependent cortical act..,0,0,2,1
Christakou et al-Right Ventromedial and Dorsola..,0,0,0,1
Cohen et al-Individual differences in extr..,0,1,0,1
Cox et al-Learning to Like  A Role for H..,0,0,0,1
Delgado et al-Tracking the Hemodynamic Respo..,0,2,0,4
Elliott et al-Dissociable Neural Responses i..,0,0,1,1
Elliott et al-Instrumental responding for re..,0,0,1,0
Glascher et al-Determining a Role for Ventrom..,1,0,1,0
Greck et al-Is our self based on reward - ..,0,2,0,1
Hauser et al-Role of the Medial Prefrontal ..,0,0,0,0
Jarcho et al-Developmental effects of decis..,3,1,0,0
John O Doherty-Dissociating Valence of Outcom..,0,2,0,1
Koeneke et al-Individual preferences modulat..,0,1,0,0
Lawrence et al-Distinct Roles of Prefrontal C..,1,0,2,0
Nieuwenhuis et al-Activity in human reward-sensi..,0,0,0,2
Schonberg et al-Decreasing ventromedial prefro..,0,0,1,1
Sescousse et al-The Architecture of Reward Val..,1,0,1,2
Smith et al-Distinct Value Signals in Ante..,1,0,6,2
Vassena et al-Dissociating contributions of ..,2,4,0,4
Winston et al-Brain systems for assessing fa..,0,0,0,0
Xue et al-Functional Dissociations of Ri..,0,1,3,4
