Cluster ID,1,2,3,4
Center of Mass,"(14, 10, -6)","(0, 54, 15)","(-6, 5, 0)","(-18, 7, -13)"
Abler et al-From uncertainty to reward - B.. Table 1-1: fMRI Results: ANOVA 1 - modeling effects over the whole trial - increasing reward magnitude,0,0,0,0
Abler et al-From uncertainty to reward - B.. Table 1-2: fMRI Results: ANOVA 1 - modeling effects over the whole trial - high > low reward value level,0,0,1,0
Abler et al-From uncertainty to reward - B.. Table 1-4: fMRI Results: ANOVA 1 - modeling effects over the whole trial - increasing reward uncertainty,0,0,0,0
Abler et al-From uncertainty to reward - B.. Table 3-1: fMRI results: ANOVA 3 - modeling effects over outcome phase - modelling prediction error,1,0,1,0
Akitsuki et al-Context-dependent cortical act.. Table 1 - Brain activities for four losses in a row,0,1,0,0
Akitsuki et al-Context-dependent cortical act.. Table 1 - Brain activities for four wins in a row,0,0,0,0
Akitsuki et al-Context-dependent cortical act.. Table 2 - Brain activities for Win 1 versus Lose 1,0,0,0,0
Akitsuki et al-Context-dependent cortical act.. Table 3 - Brain acitivities for all wins versus all losses,0,0,0,0
Akitsuki et al-Context-dependent cortical act.. Table 4 - modulation by the subjects arousal in the events of loss,0,1,0,0
Akitsuki et al-Context-dependent cortical act.. Table 4 - modulation by the subjects arousal in the events of win,0,1,0,0
Akitsuki et al-Context-dependent cortical act.. Table 5 - Brain activities for a loss following four wins in a row,0,0,0,0
Akitsuki et al-Context-dependent cortical act.. Table 5 - Brain activities for a win following four losses in a row,0,0,0,0
Christakou et al-Right Ventromedial and Dorsola.. Table 1 - Conjunction of whole-brain correlations of choice and EV-modulated outcome contrasts with net score,0,0,1,0
Cohen et al-Individual differences in extr.. Table 1 Study 1 reward - no reward,0,0,0,0
Cohen et al-Individual differences in extr.. Table 1 Study 2 reward - no reward,1,0,0,1
Cox et al-Learning to Like  A Role for H.. Table 1 - activated regions during the presentation of reward versus negative feedback in the conditioning task,0,0,0,1
Delgado et al-Tracking the Hemodynamic Respo.. Table 1 - Main effect of time - Decreasing activation,0,0,0,0
Delgado et al-Tracking the Hemodynamic Respo.. Table 1 - Main effect of time - Increasing activation,0,0,0,0
Delgado et al-Tracking the Hemodynamic Respo.. Table 2- Interaction of condition by time,0,0,0,1
Elliott et al-Dissociable Neural Responses i.. Table 1 -2 - Maximally activated voxels in areas where significant evoked activity was related to reward level - Negative correlation with reward level(increase penalty),0,0,0,0
Elliott et al-Dissociable Neural Responses i.. Table 1-1 - Maximally activated voxels in areas where significant evoked activity was related to reward level - Positive correlation with reward level(increase reward),0,0,0,0
Elliott et al-Dissociable Neural Responses i.. Table 21 - Maximally activated voxels in areas where significant evoked activity to reward level was context-dependent - Reward during run of success,0,0,0,0
Elliott et al-Dissociable Neural Responses i.. Table 22 - Maximally activated voxels in areas where significant evoked activity to reward level was context-dependent - Penalty during run of failure,0,0,0,0
Elliott et al-Dissociable Neural Responses i.. Table 23 - Maximally activated voxels in areas where significant evoked activity to reward level was context-dependent - Reward during run of success and penalty during run of failure,0,0,1,0
Elliott et al-Instrumental responding for re.. Table 1 - Maximally activated voxels in areas where significant evoked activity was related to a main effect of movement,0,0,0,0
Elliott et al-Instrumental responding for re.. Table 2 - Maximally activated voxels in areas where significant evoked activity was related to a main effect of reward,0,0,0,0
Elliott et al-Instrumental responding for re.. Table 3 - Maximally activated voxels in areas where there was a significant modulation of responses to reward by the requirement to make an instrumental response,0,0,0,0
Glascher et al-Determining a Role for Ventrom.. Table 1-1 Coordinates and significance levels for contrasts - Conjunction of Vchosen for AR and SR (AR = action-based reversal learning; SR = stimulus-based reversal learning),0,0,0,0
Glascher et al-Determining a Role for Ventrom.. Table 1-2 Coordinates and significance levels for contrasts - Conjunction of AR Switch > Stay and SR Switch > Stay  (AR = action-based reversal learning; SR = stimulus-based reversal learning),0,0,0,0
Greck et al-Is our self based on reward - .. Table 1 - Activations for the contrast [reward win] vs [reward lose] - in fMRI the contrast was bigger for the won trials than those lost,1,1,0,1
Hauser et al-Role of the Medial Prefrontal .. Table 2 - Group Differences Between Patients With ADHD and Healthy Adolescents for reward prediction error (RPE) outcome - healthy>adhd,0,1,0,0
Jarcho et al-Developmental effects of decis.. Table 6-1 Receipt for Adolescents during Choice trials compared with Baseline,0,0,0,0
Jarcho et al-Developmental effects of decis.. Table 6-2 Receipt for Adolescents during Choice trials compared with Baseline,0,0,0,0
Jarcho et al-Developmental effects of decis.. Table 8-1 Receipt for Adults during Choice trials compared with Baseline,0,0,0,0
Jarcho et al-Developmental effects of decis.. Table 8-2 Receipt for Adults during Choice trials compared with Baseline,0,0,0,0
John O Doherty-Dissociating Valence of Outcom.. Table 1-1-a - Effects of valence of outcome - Choice task - reward > punishment,0,0,0,0
John O Doherty-Dissociating Valence of Outcom.. Table 1-2-a - Effects of valence of outcome - Choice task - punishment > reward,0,0,0,0
John O Doherty-Dissociating Valence of Outcom.. Table 3-1-a - Comparison between choice and imperative tasks - Choice-imperative: effects of valence of outcome (reward>punishment),0,0,0,0
John O Doherty-Dissociating Valence of Outcom.. Table 3-1-b - Comparison between choice and imperative tasks - Choice-imperative: effects of response maintenance,0,0,0,0
John O Doherty-Dissociating Valence of Outcom.. Table 3-1-c - Comparison between choice and imperative tasks - Choice-imperative: effects of response switching,0,0,1,0
Koeneke et al-Individual preferences modulat.. Table 3 - Clusters showing preference-dependent activation during the outcome phase,1,0,0,0
Lawrence et al-Distinct Roles of Prefrontal C.. Table 2 - Brain regions showing significant activation during choices from risky (A/B) versus safe (C/D) decks and showing a correlation with task performance,0,1,0,0
Lawrence et al-Distinct Roles of Prefrontal C.. Table 3 - Brain regions showing significant activation in response to wins versus losses (all decks),0,0,0,0
Nieuwenhuis et al-Activity in human reward-sensi.. Table 1-1 -List of reward-sensitive brain areas revealed by contrasting the highest outcome and lowest outcome - Context dependent and independent,1,0,0,1
Nieuwenhuis et al-Activity in human reward-sensi.. Table 1-2 -List of reward-sensitive brain areas revealed by contrasting the highest outcome and lowest outcome - Context dependent,0,0,1,0
Schonberg et al-Decreasing ventromedial prefro.. Table 2-3 Peaks of significant clusters of activation - explosion > control,0,0,0,0
Sescousse et al-The Architecture of Reward Val.. Table S1 - Brain regions specific of monetary reward outcomes,0,0,0,0
Sescousse et al-The Architecture of Reward Val.. Table S2 - Brain regions specific of erotic reward outcomes,0,0,0,0
Sescousse et al-The Architecture of Reward Val.. Table S3 - Brain regions activated by both monetary and erotic reward outcomes,0,0,0,0
Smith et al-Distinct Value Signals in Ante.. Table S2 - Regions exhibiting increased activation to monetary rewards - regardless of their value - compared to photographs of faces.,0,0,0,0
Smith et al-Distinct Value Signals in Ante.. Table S3 - Regions exhibiting increased activation to photographs of their faces; regardless of their attractiveness; compared to monetary rewards.,0,0,0,0
Smith et al-Distinct Value Signals in Ante.. Table S4 - Regions exhibiting sensitivity to monetary value defined as increased activation to large gains (+$5 & +$2) compared to large losses (-$5 & -$2).,0,0,0,0
Smith et al-Distinct Value Signals in Ante.. Table S5 - Regions whose activation increases with increasing monetary reward size,0,0,0,0
Smith et al-Distinct Value Signals in Ante.. Table S6 - Regions exhibiting sensitivity to social value - defined as increased activation to attractive faces (those from the 4-star category) compared to unattractive faces (those from the 1-star category).,0,0,0,0
Smith et al-Distinct Value Signals in Ante.. Table S7 - Regions whose activation increases with increasing social reward size,0,0,0,0
Vassena et al-Dissociating contributions of .. Table 1-1  Summary of the activations in the whole brain contrasts. Contrast outcome phase win > lose,2,0,1,0
Vassena et al-Dissociating contributions of .. Table 1-2  Summary of the activations in the whole brain contrasts. Contrast outcome phase low probability > high probability,0,0,0,0
Winston et al-Brain systems for assessing fa.. Table 1 - Brain regions showing significant differences in BOLD activation in a task-dependent manner (attractiveness judgment > age judgment;,0,2,0,0
Xue et al-Functional Dissociations of Ri.. Table S1 - Foci of regions modulated by the experienced risk in the parametric analysis,0,1,1,0
Xue et al-Functional Dissociations of Ri.. Table S2 - Foci of regions modulated by the experienced reward in the parametric analysis,1,0,0,2
Xue et al-Functional Dissociations of Ri.. Table S3 - Foci of activation for Risky minus Safe choices across both Gain and Loss domains,0,0,1,0
Xue et al-Functional Dissociations of Ri.. Table S4 - Foci of activation for Win minus Loss domains across both Risky and Safe choices,2,0,0,1
Xue et al-Functional Dissociations of Ri.. Table S6 - Foci of regions showing significant positive correlation between individual risk preference and activation in Win vs. Loss contrast,0,0,0,0
